row_label_raw,row_label_full,col_0,Số đầu năm,Tăng,Giảm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng,numeric__Giảm,numeric__VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,43.563.733.166,110.270.491.673,(111.537.968.354),42.296.256.485,43563733166.0,110270491673.0,-111537968354.0,42296256485.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.123.812.400,6.702.535.743,(9.783.825.747),2.042.522.396,5123812400.0,6702535743.0,-9783825747.0,2042522396.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.400.146.492,127.166.521.919,(130.549.429.588),17.238.823,3400146492.0,127166521919.0,-130549429588.0,17238823.0
Khác,Phải nộp > Khác,Khác,228.877.654,420.336.639,(649.214.293),-,228877654.0,420336639.0,-649214293.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,52.316.569.712,244.559.885.974,(252.520.437.982),44.356.017.704,52316569712.0,244559885974.0,-252520437982.0,44356017704.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,35.800.350.006,-,35.800.350.006,,35800350006.0,,35800350006.0
Thuế TNDN,Phải thu > Thuế TNDN,Thuế TNDN,1.788.469.068,21.799.162.381,(14.526.236.532),9.061.394.917,1788469068.0,21799162381.0,-14526236532.0,9061394917.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,1.788.469.068,57.599.512.387,(14.526.236.532),44.861.744.923,1788469068.0,57599512387.0,-14526236532.0,44861744923.0
