row_label_raw,row_label_full,Khách sạn và Khu nghĩ dưỡng năm sao,Số cuối năm > Khách sạn và Khu nghĩ dưỡng năm sao,VND Số đầu năm > Khách sạn và Khu nghĩ dưỡng năm sao,numeric__Số cuối năm > Khách sạn và Khu nghĩ dưỡng năm sao,numeric__VND Số đầu năm > Khách sạn và Khu nghĩ dưỡng năm sao
Phú Quốc,Phú Quốc,Phú Quốc,53.732.479.734,53.402.479.734,53732479734.0,53402479734.0
Khác,Khác,Khác,13.179.180.271,7.720.343.009,13179180271.0,7720343009.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,66.911.660.005,61.122.822.743,66911660005.0,61122822743.0
