row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),Phần mềm máy tính,VND Tổng cộng,numeric__Quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,5.059.556.440,718.481.036,5.778.037.476,5059556440.0,718481036.0,5778037476.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.250.000.000,1.250.000.000,,1250000000.0,1250000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,5.059.556.440,1.968.481.036,7.028.037.476,5059556440.0,1968481036.0,7028037476.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,718.481.036,718.481.036,,718481036.0,718481036.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(733.894.675),(718.481.036),(1.452.375.711),-733894675.0,-718481036.0,-1452375711.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(103.608.660),(173.611.110),(277.219.770),-103608660.0,-173611110.0,-277219770.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(837.503.335),(892.092.146),(1.729.595.481),-837503335.0,-892092146.0,-1729595481.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,4.325.661.765,-,4.325.661.765,4325661765.0,,4325661765.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,4.222.053.105,1.076.388.890,5.298.441.995,4222053105.0,1076388890.0,5298441995.0
