row_label_raw,row_label_full,col_0,Bàng cân đối kế toán riêng,Bàng cân đối kế toán riêng_1,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bàng cân đối kế toán riêng,numeric__Bàng cân đối kế toán riêng_1,numeric__Báo cáo kết quả hoạt động kinh doanh riêng,numeric__Báo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,513.445.173,1.230.519.920,(717.074.747),1.230.519.920,513445173.0,1230519920.0,-717074747.0,1230519920.0
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,513.445.173,1.230.519.920,,,513445173.0,1230519920.0,,
(Chi phí) thu nhập thuế TNDN hoãn lại,(Chi phí) thu nhập thuế TNDN hoãn lại,(Chi phí) thu nhập thuế TNDN hoãn lại,,,(717.074.747),1.230.519.920,,,-717074747.0,1230519920.0
