row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
T.A.M,Phải thu ngắn hạn của khách hàng > T.A.M,T.A.M,Bên liên quan,Chuyển nhượng cổ phần,60.000.000.000,-,,,60000000000.0,
Trường Phát Lộc,Phải thu ngắn hạn của khách hàng > Trường Phát Lộc,Trường Phát Lộc,Bên liên quan,Thuê văn phòng Bán căn hộ,1.052.081.577,3.101.267.777 12.954.006.800,,,1052081577.0,
,,,,,61.052.081.577,16.055.274.577,,,61052081577.0,16055274577.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,,,,
T.A.M,Phải thu dài hạn của khách hàng > T.A.M,T.A.M,Bên liên quan,Chuyển nhượng cổ phần,117.000.000.000,-,,,117000000000.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Phú Hưng,Phải thu ngắn hạn khác > Phú Hưng,Phú Hưng,Công ty liên kết,Ứng trước Chi phí tiện ích,517.908.385.303,- 86.399.310,,,517908385303.0,-86399310.0
T.A.M,Phải thu ngắn hạn khác > T.A.M,T.A.M,Bên liên quan,Lãi được chia từ HĐHTĐT,90.000.000.000,-,,,90000000000.0,
,,,,,607.908.385.303,86.399.310,,,607908385303.0,86399310.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Trường Phát Lộc,Phải thu dài hạn khác > Trường Phát Lộc,Trường Phát Lộc,Bên liên quan,HĐHTĐT,126.400.000.000,125.000.000.000,,,126400000000.0,125000000000.0
T.A.M,Phải thu dài hạn khác > T.A.M,T.A.M,Bên liên quan,HĐHTĐT,100.939.751.900,-,,,100939751900.0,
,,,,,227.339.751.900,125.000.000.000,,,227339751900.0,125000000000.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Phú Hưng,Người mua trả tiền trước ngắn hạn > Phú Hưng,Phú Hưng,Công ty liên kết,Trả trước tiền mua căn hộ,-,50.000.000.000,,,,50000000000.0
