row_label_raw,row_label_full,Ông Nguyễn Văn Đạt,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Phạm Trọng Hòa,Ông Phạm Trọng Hòa,Ông Phạm Trọng Hòa,Phó Tổng Giám đốc,,,
Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Phó Tổng Giám đốc,,,
Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Phó Tổng Giám đốc,miễn nhiệm ngày 3 tháng 5 năm 2017,,
