row_label_raw,row_label_full,col_0,Mối quan hệ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Số cuối năm,numeric__VND Số đầu năm
Cam kết xây dựng các dự án,Cam kết xây dựng các dự án,Cam kết xây dựng các dự án,,103.551.925.451,309.805.821.087,,103551925451.0,309805821087.0
Cam kết góp vốn,Cam kết góp vốn,Cam kết góp vốn,,868.058.084.832,841.000.000.000,,868058084832.0,841000000000.0
Đầu tư Phát Đạt,Đầu tư Phát Đạt,Đầu tư Phát Đạt,Công ty con,669.000.000.000,669.000.000.000,,669000000000.0,669000000000.0
Phát Đạt Ánh Dương,Phát Đạt Ánh Dương,Phát Đạt Ánh Dương,Công ty liên kết,113.400.000.000,113.400.000.000,,113400000000.0,113400000000.0
Phú Hưng,Phú Hưng,Phú Hưng,Công ty liên kết,49.900.000.000,49.900.000.000,,49900000000.0,49900000000.0
Đoàn Ánh Dương,Đoàn Ánh Dương,Đoàn Ánh Dương,,24.000.000.000,-,,24000000000.0,
Điền Gia Khánh,Điền Gia Khánh,Điền Gia Khánh,Công ty liên kết,8.300.000.000,8.300.000.000,,8300000000.0,8300000000.0
Minh Hoàng,Minh Hoàng,Minh Hoàng,,3.058.084.832,-,,3058084832.0,
Điền Gia Khang,Điền Gia Khang,Điền Gia Khang,Công ty liên kết,400.000.000,400.000.000,,400000000.0,400000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,971.610.010.283,1.150.805.821.087,,971610010283.0,1150805821087.0
