row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.018.099.710.000,11.680.300.000,76.113.584.076,167.742.956.736,2.273.636.550.812,2018099710000.0,11680300000.0,76113584076.0,167742956736.0,2273636550812.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,241.643.799.117,241.643.799.117,,,,241643799117.0,241643799117.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,9.300.000.000,(17.100.000.000),(7.800.000.000),,,9300000000.0,-17100000000.0,-7800000000.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,(100.617.585.500),(100.617.585.500),,,,-100617585500.0,-100617585500.0
Thù lao HĐQT,Năm trước > Thù lao HĐQT,Thù lao HĐQT,-,-,-,(1.125.000.000),(1.125.000.000),,,,-1125000000.0,-1125000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.018.099.710.000,11.680.300.000,85.413.584.076,290.544.170.353,2.405.737.764.429,2018099710000.0,11680300000.0,85413584076.0,290544170353.0,2405737764429.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.018.099.710.000,11.680.300.000,85.413.584.076,290.544.170.353,2.405.737.764.429,2018099710000.0,11680300000.0,85413584076.0,290544170353.0,2405737764429.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,440.144.750.031,440.144.750.031,,,,440144750031.0,440144750031.0
Trích lập quỹ,Năm nay > Trích lập quỹ,Trích lập quỹ,-,-,17.300.000.000,(31.700.000.000),(14.400.000.000),,,17300000000.0,-31700000000.0,-14400000000.0
Cổ tức bằng cổ phiếu (*),Năm nay > Cổ tức bằng cổ phiếu (*),Cổ tức bằng cổ phiếu (*),201.809.520.000,-,-,(201.809.520.000),-,201809520000.0,,,-201809520000.0,
Cổ tức công bố,Năm nay > Cổ tức công bố,Cổ tức công bố,-,-,-,(287.400.000),(287.400.000),,,,-287400000.0,-287400000.0
Thù lao HĐQT,Năm nay > Thù lao HĐQT,Thù lao HĐQT,-,-,-,(2.108.000.000),(2.108.000.000),,,,-2108000000.0,-2108000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.219.909.230.000,11.680.300.000,102.713.584.076,494.784.000.384,2.829.087.114.460,2219909230000.0,11680300000.0,102713584076.0,494784000384.0,2829087114460.0
