row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thăng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thăng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,180.000.000.000,4.726.187.500,5.011.985.488,,432.841.146,(1.202.574.565),15.826.517.442,12.915.963.569,244.630.571.701,33.940.104.984,496.281.597.265,180000000000.0,4726187500.0,5011985488.0,,432841146.0,-1202574565.0,15826517442.0,12915963569.0,244630571701.0,33940104984.0,496281597265.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,,,,,,,,,423.391.223.335,,423.391.223.335,,,,,,,,,423391223335.0,,423391223335.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,,,,,,,4.975.313.489,,(4.975.313.489),,,,,,,,,4975313489.0,,-4975313489.0,,
Trích quỹ dự phòng tài chính,Trích quỹ dự phòng tài chính,Trích quỹ dự phòng tài chính,,,,,,,,4.670.006.722,(4.670.006.722),,,,,,,,,,4670006722.0,-4670006722.0,,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,,,,,,,,,(9.176.343.332),,(9.176.343.332),,,,,,,,,-9176343332.0,,-9176343332.0
Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,,,,,,,,,(1.470.686.859),,(1.470.686.859),,,,,,,,,-1470686859.0,,-1470686859.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,21.000.000.000,,,,,,,,(21.000.000.000),,,21000000000.0,,,,,,,,-21000000000.0,,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,,,,,,,,,(15.000.000.000),,(15.000.000.000),,,,,,,,,-15000000000.0,,-15000000000.0
Tăng khác năm trước,Tăng khác năm trước,Tăng khác năm trước,,,,,,2.306.822.427,,,1.443.433.665,2.464.425.168,6.214.681.260,,,,,,2306822427.0,,,1443433665.0,2464425168.0,6214681260.0
Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,,,1.874.939.384,,,,,,(1.874.939.384),,,,,1874939384.0,,,,,,-1874939384.0,,
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,,,,(4.320.000),,,,,,,(4.320.000),,,,-4320000.0,,,,,,,-4320000.0
