row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệbiểu quyết,Tỷ lệthực góp,numeric__Địa chỉ,numeric__Tỷ lệbiểu quyết,numeric__Tỷ lệthực góp
Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,Cao Bằng,"25,09%","25,09%",,0.2509,0.2509
Công ty Cổ phần Khoáng sản Tấn Phát,Công ty Cổ phần Khoáng sản Tấn Phát,Công ty Cổ phần Khoáng sản Tấn Phát,Cao Bằng,46%,46%,,0.46,0.46
