row_label_raw,row_label_full,Tên công ty,Địa chỉ,Hoạt động kinh doanh chính,Tỷ lệbiểu quyết,Tỷ lệthực góp,numeric__Địa chỉ,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệbiểu quyết,numeric__Tỷ lệthực góp
Công ty CP Bê tông Ly tâmVinaincon,Công ty CP Bê tông Ly tâmVinaincon,Công ty CP Bê tông Ly tâmVinaincon,Hà Nội,Sản xuất bê tông và các sảnphẩm từ xi măng,"10,00%","10,00%",,,0.1,0.1
Ngân hàng BIDV,Ngân hàng BIDV,Ngân hàng BIDV,Hà Nội,Ngân hàng,"0,00136%","0,00136%",,,1.36e-05,1.36e-05
