row_label_raw,row_label_full,400,B. VỐN CHỦ SỞ HỮU,col_2,1.370.385.097.417,900.236.151.669,numeric__B. VỐN CHỦ SỞ HỮU,numeric__col_2,numeric__1.370.385.097.417,numeric__900.236.151.669
410,410,410,I. Vốn chủ sở hữu,19,1.370.385.097.417,900.236.151.669,,19.0,1370385097417.0,900236151669.0
411,411,411,1. Vốn góp của chủ sở hữu,,341.694.850.000,201.000.000.000,,,341694850000.0,201000000000.0
411a,411a,411a,Cổ phiếu phố thông có quyền biểu quyết,,341.694.850.000,201.000.000.000,,,341694850000.0,201000000000.0
412,412,412,2. Thặng dư vốn cổ phần,,105.674.669.318,4.726.187.500,,,105674669318.0,4726187500.0
414,414,414,3. Vốn khác của chủ sở hữu,,9.399.424.872,6.886.924.872,,,9399424872.0,6886924872.0
415,415,415,4. Cổ phiếu quỹ,,(4.320.000),(4.320.000),,,-4320000.0,-4320000.0
416,416,416,5. Chênh lệch đánh giá lại tài sản,,432.841.146,432.841.146,,,432841146.0,432841146.0
417,417,417,6. Chênh lệch tỷ giá hối đoái,,-,1.104.247.862,,,,1104247862.0
418,418,418,7. Quỹ đầu tư phát triển,,45.303.476.444,38.387.801.222,,,45303476444.0,38387801222.0
421,421,421,8. Lợi nhuận sau thuế chưa phân phối,,797.851.432.411,611.297.938.915,,,797851432411.0,611297938915.0
421a,421a,421a,LNST chưa phân phối lũy kế đến cuối năm trước,,552.382.564.517,187.906.715.580,,,552382564517.0,187906715580.0
421b,421b,421b,LNST chưa phân phối năm nay,,245.468.867.894,423.391.223.335,,,245468867894.0,423391223335.0
429,429,429,9. Lợi ích cổ đông không kiểm soát,,70.032.723.226,36.404.530.152,,,70032723226.0,36404530152.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,3.263.477.729.536,2.078.042.640.682,,,3263477729536.0,2078042640682.0
