row_label_raw,row_label_full,BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh,BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_1,BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_2,BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_3,BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_4,BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_5,BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_6,numeric__BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_1,numeric__BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_2,numeric__BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_3,numeric__BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_4,numeric__BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_5,numeric__BÁO CÁO BỘ PHẬNTheo lĩnh vực kinh doanh_6
,,,Xây lắp,Sản xuất công nghiệp,Bắt động sản,Thủy điện,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,2.336.757.718.576,658.663.984.955,7.212.035.098,,98.225.004.404,3.100.858.743.033,2336757718576.0,658663984955.0,7212035098.0,,98225004404.0,3100858743033.0
Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,326.925.436.981,88.164.640.581,3.041.011.231,,10.455.216.062,428.586.304.855,326925436981.0,88164640581.0,3041011231.0,,10455216062.0,428586304855.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,32.887.938.511,7.882.598.995,,543.517.073.001,,584.287.610.507,32887938511.0,7882598995.0,,543517073001.0,,584287610507.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.035.396.659.463,250.856.089.658,492.310.906.681,888.877.874.436,192.915.041.041,2.860.356.571.279,1035396659463.0,250856089658.0,492310906681.0,888877874436.0,192915041041.0,2860356571279.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,397.309.150.858,,,,,,397309150858.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.035.396.659.463,250.856.089.658,492.310.906.681,888.877.874.436,192.915.041.041,3.257.665.722.137,1035396659463.0,250856089658.0,492310906681.0,888877874436.0,192915041041.0,3257665722137.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,846.706.913.089,103.510.903.902,395.556.561.844,491.191.789.101,2.420.089.572,1.839.386.257.508,846706913089.0,103510903902.0,395556561844.0,491191789101.0,2420089572.0,1839386257508.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,50.606.480.863,,,,,,50606480863.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,846.706.913.089,103.510.903.902,395.556.561.844,491.191.789.101,2.420.089.572,1.889.992.738.371,846706913089.0,103510903902.0,395556561844.0,491191789101.0,2420089572.0,1889992738371.0
