row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ biểu quyết,Tỷ lệ thực góp,numeric__Địa chỉ,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ thực góp
Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,"Phố Chợ, Phường Đại Mỗ, Quận Nam Từ Liêm, thành phố Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,"Số 583 Km 9 đường Nguyễn Trãi, Văn Quán, Q. Hà Đông, TP Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp điện I - Miền Nam,Công ty TNHH MTV Xây lắp điện I - Miền Nam,Công ty TNHH MTV Xây lắp điện I - Miền Nam,"Cao ốc An Khang, số 28 Đường 19, Khu phố 5, Phường An Phú, Quận 2, Hồ Chí Minh",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,"Phố Chợ, Phường Đại Mỗ, Quận Nam Từ Liêm, thành phố Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,"Số 138 Trần Bình, P. Mỹ Đình 2, Q Nam Từ Liêm, thành phố Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,"Tổ 19, P. Xuân Phương, Q. Nam Từ Liêm, Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,"Thôn Văn La, phường Phú La, quận Hà Đông, Hà Nội.",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,"Số 583 Km 9 đường Nguyễn Trãi, Văn Quán, Q. Hà Đông, TP Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,"Số 471, đường Nguyễn Tam Trinh, P. Hoàng Văn Thụ, Q. Hoàng Mai, Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty TNHH Chế tạo Cột thép Đông Anh,"Tổ 23, thị trấn Đông Anh, thành phố Hà Nội",100%,100%,,1.0,1.0
Công ty Cổ phần Hóa phẩm phụ gia Việt Nam,Công ty Cổ phần Hóa phẩm phụ gia Việt Nam,Công ty Cổ phần Hóa phẩm phụ gia Việt Nam,"P. Xuân Phương, Q. Nam Từ Liêm, Hà Nội",51%,48%,,0.51,0.48
Công ty Cổ phần Đầu tư An Phú,Công ty Cổ phần Đầu tư An Phú,Công ty Cổ phần Đầu tư An Phú,"Cụm Công nghiệp Tân Tiến, xã Tân Tiến, Văn Giang, Hưng Yên.",100%,100%,,1.0,1.0
Công ty Cổ phần Thủy điện Trung Thu,Công ty Cổ phần Thủy điện Trung Thu,Công ty Cổ phần Thủy điện Trung Thu,"Số nhà 157, Tổ dân phố 16 phường Tân Thanh, TP Điện Biên Phù",60%,60%,,0.6,0.6
Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Thôn Đình Thôn - Mỹ Đình 1 - Quận Nam từ liêm - Hà nội,98%,98%,,0.98,0.98
Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,"Số 138 Trần Bình, P Mỹ Đình 2, Q Nam Từ Liêm, Hà Nội",51%,51%,,0.51,0.51
Công ty CP Thủy điện Bảo Lâm (*),Công ty CP Thủy điện Bảo Lâm (*),Công ty CP Thủy điện Bảo Lâm (*),Thành lập tại Cao Bằng nhưng chưa hoạt động,90%,90%,,0.9,0.9
Công ty CP Đầu tư Thủy điện Cao Bằng (**),Công ty CP Đầu tư Thủy điện Cao Bằng (**),Công ty CP Đầu tư Thủy điện Cao Bằng (**),Thành lập tại Cao Bằng nhưng chưa hoạt động,90%,90%,,0.9,0.9
