row_label_raw,row_label_full,a) Tài sản thuế thu nhập hoãn lại,a) Tài sản thuế thu nhập hoãn lại_1,a) Tài sản thuế thu nhập hoãn lại_2,numeric__a) Tài sản thuế thu nhập hoãn lại_1,numeric__a) Tài sản thuế thu nhập hoãn lại_2
,,,31/12/2015,01/01/2015,,
,,,VND,VND,,
- Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ- Công ty TNHH Chế tạo Cột thép Đông Anh - Hyundai,- Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ- Công ty TNHH Chế tạo Cột thép Đông Anh - Hyundai,- Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ- Công ty TNHH Chế tạo Cột thép Đông Anh - Hyundai,141.803.461,141.803.461,141803461.0,141803461.0
- Tài sản thuế TNDN hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ: Thuế TNDN 1% tạm nộp đối với doanh thu thu,- Tài sản thuế TNDN hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ: Thuế TNDN 1% tạm nộp đối với doanh thu thu,- Tài sản thuế TNDN hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ: Thuế TNDN 1% tạm nộp đối với doanh thu thu,3.423.521.024,,3423521024.0,
- Tài sản thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,- Tài sản thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,- Tài sản thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,2.246.682.914,3.426.412.377,2246682914.0,3426412377.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,5.812.007.399,3.568.215.838,5812007399.0,3568215838.0
b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,,
,,,31/12/2015,01/01/2015,,
,,,VND,VND,,
- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,b) Thuế thu nhập hoãn lại phải trả > - Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,3.099.893.748,561.677.557,3099893748.0,561677557.0
- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng bảo hành hàng hóa,b) Thuế thu nhập hoãn lại phải trả > - Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng bảo hành hàng hóa,- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng bảo hành hàng hóa,-,2.101.863.903,,2101863903.0
Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,3.099.893.748,2.663.541.460,3099893748.0,2663541460.0
c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,,
,,,Năm 2015,Năm 2014,,
,,,VND,VND,,
Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,(3.423.521.024),,-3423521024.0,
Hoàn nhập tài sản thuế thu nhập hoãn lại liên quan đến hoạt động chuyển nhượng bất động sản,c) Chi phí thuế TNDN hoãn lại > Hoàn nhập tài sản thuế thu nhập hoãn lại liên quan đến hoạt động chuyển nhượng bất động sản,Hoàn nhập tài sản thuế thu nhập hoãn lại liên quan đến hoạt động chuyển nhượng bất động sản,-,5.658.097.597,,5658097597.0
CP thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,c) Chi phí thuế TNDN hoãn lại > CP thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,CP thuế TNDN hoãn lại tương ứng với lãi chưa thực hiện,(1.422.437.523),(3.426.412.377),-1422437523.0,-3426412377.0
Chi phí thuế TNDN hoãn lại phát sinh từ việc hoàn nhập tài sản thuế thu nhập hoãn lại,c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN hoãn lại phát sinh từ việc hoàn nhập tài sản thuế thu nhập hoãn lại,Chi phí thuế TNDN hoãn lại phát sinh từ việc hoàn nhập tài sản thuế thu nhập hoãn lại,2.602.166.986,260.560.086,2602166986.0,260560086.0
CP thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,c) Chi phí thuế TNDN hoãn lại > CP thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,CP thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,2.538.216.191,561.677.557,2538216191.0,561677557.0
CP thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng bảo hành sản phẩm,c) Chi phí thuế TNDN hoãn lại > CP thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng bảo hành sản phẩm,CP thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng bảo hành sản phẩm,(2.101.863.903),2.101.863.903,-2101863903.0,2101863903.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ - Công ty TNHH Chế tạo Cột thép Đông Anh - Hyundai,c) Chi phí thuế TNDN hoãn lại > Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ - Công ty TNHH Chế tạo Cột thép Đông Anh - Hyundai,Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ - Công ty TNHH Chế tạo Cột thép Đông Anh - Hyundai,-,(141.803.461),,-141803461.0
,,,(1.807.439.273),5.013.983.305,-1807439273.0,5013983305.0
