row_label_raw,row_label_full,col_0,Giá trị sở kế toán > 31/12/2015,Giá trị sở kế toán > 01/01/2015,numeric__Giá trị sở kế toán > 31/12/2015,numeric__Giá trị sở kế toán > 01/01/2015
,,,VND,VND,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,524.519.786.908,189.639.815.811,524519786908.0,189639815811.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",482.750.982.844,500.799.080.502,482750982844.0,500799080502.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,84.271.733.872,89.952.868.924,84271733872.0,89952868924.0
,,,1.091.542.503.624,780.391.765.237,1091542503624.0,780391765237.0
