row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 17) (tiếp theo),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 17) (tiếp theo),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 17) (tiếp theo),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 17) (tiếp theo),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 17) (tiếp theo),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 17) (tiếp theo),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 17) (tiếp theo),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 17) (tiếp theo),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 17) (tiếp theo)
Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty con,Thuế văn phòng,113.100.000,174.629.057,,,113100000.0,174629057.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Chi phí thầu phụ,78.250.000,203.110.000,,,78250000.0,203110000.0
Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,Công ty liên kết,Phí tư vấn,-,200.000.000,,,,200000000.0
