row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,954.464.570.000,30.494.112.981,94.548.441.157,548.334.495.431(334.043.000.000),1.627.841.619.569-,954464570000.0,30494112981.0,94548441157.0,,
Chia cổ tức bằng cổ phiếu,Năm trước > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,334.043.000.000,-,-,548.334.495.431(334.043.000.000),1.627.841.619.569-,334043000000.0,,,,
Phát hành cổ phiếu mới,Năm trước > Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,10.000.000.000,-,-,-,10.000.000.000,10000000000.0,,,,10000000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,839.389.552.636(95.446.457.000),839.389.552.636(95.446.457.000),,,,,
Cổ tức đã công bố,Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,839.389.552.636(95.446.457.000),839.389.552.636(95.446.457.000),,,,,
"Trích lập quỹ khen thưởng, phúc lợi","Cổ tức đã công bố > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(83.706.242.135),(83.706.242.135),,,,-83706242135.0,-83706242135.0
Thường ban điều hành vàcán bộ trọng yếu,Thường ban điều hành vàcán bộ trọng yếu,Thường ban điều hành vàcán bộ trọng yếu,-,-,-,(41.117.598.681)(4.536.367.894),(41.117.598.681)(4.536.367.894),,,,,
Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,(41.117.598.681)(4.536.367.894),(41.117.598.681)(4.536.367.894),,,,,
Số cuối năm,Thù lao Hội đồng Quản trị > Số cuối năm,Số cuối năm,1.298.507.570.000,30.494.112.981,94.548.441.157,828.874.382.357,2.252.424.506.495,1298507570000.0,30494112981.0,94548441157.0,828874382357.0,2252424506495.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.298.507.570.000,30.494.112.981,94.548.441.157,828.874.382.357(649.242.200.000),2.252.424.506.495-,1298507570000.0,30494112981.0,94548441157.0,,
Chia cổ tức bằng cổ phiếu(i),Năm nay > Chia cổ tức bằng cổ phiếu(i),Chia cổ tức bằng cổ phiếu(i),649.242.200.000,-,-,828.874.382.357(649.242.200.000),2.252.424.506.495-,649242200000.0,,,,
Phát hành cổ phiếu mới (ii),Năm nay > Phát hành cổ phiếu mới (ii),Phát hành cổ phiếu mới (ii),13.000.000.000,-,-,-,13.000.000.000,13000000000.0,,,,13000000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,691.610.429.220(64.887.754.000),691.610.429.220(64.887.754.000),,,,,
Cổ tức đã công bố,Lợi nhuận thuần trong năm > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,(69.408.561.368),(69.408.561.368),,,,-69408561368.0,-69408561368.0
"Trích lập quỹ khen thưởng, phúc lợi (iii)","Lợi nhuận thuần trong năm > Trích lập quỹ khen thưởng, phúc lợi (iii)","Trích lập quỹ khen thưởng, phúc lợi (iii)",-,-,-,(69.408.561.368),(69.408.561.368),,,,-69408561368.0,-69408561368.0
Thường ban điều hành vàcán bộ trọng yếu,Lợi nhuận thuần trong năm > Thường ban điều hành vàcán bộ trọng yếu,Thường ban điều hành vàcán bộ trọng yếu,-,-,-,(42.797.473.595),(42.797.473.595),,,,-42797473595.0,-42797473595.0
Số cuối năm,Lợi nhuận thuần trong năm > Số cuối năm,Số cuối năm,1.960.749.770.000,30.494.112.981,94.548.441.157,694.148.822.614,2.779.941.146.752,1960749770000.0,30494112981.0,94548441157.0,694148822614.0,2779941146752.0
