row_label_raw,row_label_full,Khoản vay 1,91.585.902.994,Từ ngày 3 tháng 1 năm 2019 đến ngày 3 tháng 6 năm 2020,"Lãi suất tiết kiệm 12 tháng cộng 3,0%/năm",Máy móc thiết bị,numeric__91.585.902.994,numeric__Từ ngày 3 tháng 1 năm 2019 đến ngày 3 tháng 6 năm 2020,"numeric__Lãi suất tiết kiệm 12 tháng cộng 3,0%/năm",numeric__Máy móc thiết bị
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,61.057.268.676,,,,61057268676.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,30.528.634.318,,,,30528634318.0,,,
