row_label_raw,row_label_full,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty con,Dịch vụ xây dựng,19.099.081.310,-,numeric__Công ty con,numeric__Dịch vụ xây dựng,numeric__19.099.081.310,numeric__-
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty con,Dịch vụ xây dựng,-,10.000.000.000,,,,10000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,19.099.081.310,10.000.000.000,,,19099081310.0,10000000000.0
