row_label_raw,row_label_full,Cho bên liên quan vay (Thuyết minh số 31),Số cuối năm > 464.041.471.019,VND Số đầu năm > 390.741.896.900,numeric__Số cuối năm > 464.041.471.019,numeric__VND Số đầu năm > 390.741.896.900
Cho bên khác vay,Cho bên khác vay,Cho bên khác vay,28.063.537.065,28.790.809.288,28063537065.0,28790809288.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,492.105.008.084,419.532.706.188,492105008084.0,419532706188.0
Dự phòng phải thu về cho vay ngắn hạn khó đòi,Dự phòng phải thu về cho vay ngắn hạn khó đòi,Dự phòng phải thu về cho vay ngắn hạn khó đòi,-,(300.000.000),,-300000000.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,492.105.008.084,419.232.706.188,492105008084.0,419232706188.0
