row_label_raw,row_label_full,Tên công ty liên kết,Hoạt động chính,Tình trạng,Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Giá trị (VND),Số đầu năm > Tỷ lệ sở hữu (%),Số đầu năm > Giá trị (VND),numeric__Hoạt động chính,numeric__Tình trạng,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Giá trị (VND),numeric__Số đầu năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Giá trị (VND)
Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,"Môi giới, tư vấn đầu tư và tự doanh chứng khoán",Đang hoạt động,"42,53",40.677.500.000,"42,53",40.677.500.000,,,42.53,40677500000.0,42.53,40677500000.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,"Thi công lắp đặt trang thiết bị công trình xây dựng hệ thống điện nước, phòng cháy chữa cháy, hệ thống làm lạnh",Đang hoạt động,"47,82",34.842.520.000,"47,82",34.842.520.000,,,47.82,34842520000.0,47.82,34842520000.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Trang trí nội thất; sản xuất vật liệu xây dựng (cửa nhôm); san lắp mặt bằng và mua bán vật tư xây dựng,Đang hoạt động,"46,93",10.560.000.000,"46,93",10.560.000.000,,,46.93,10560000000.0,46.93,10560000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,86.080.020.000,,86.080.020.000,,,,86080020000.0,,86080020000.0
Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,,,,(19.967.053.745),,(7.743.503.127),,,,-19967053745.0,,-7743503127.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,,66.112.966.255,,78.336.516.873,,,,66112966255.0,,78336516873.0
Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,,,,,,
,,,,Số đầu năm,Dự phòng trích lập trong năm,Hoàn nhập dự phòng trong năm,,VND Số cuối năm,,,,,,
Công ty Cổ phần Chứng khoán Sen Vàng,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết: > Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,,(7.743.503.127),(12.223.550.618),,-,(19.967.053.745),,-7743503127.0,-12223550618.0,,,-19967053745.0
