row_label_raw,row_label_full,Bên liên quan > Phải thu về cho vay ngắn hạn (Thuyết minh số 9),Mối quan hệ > Phải thu về cho vay ngắn hạn (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu về cho vay ngắn hạn (Thuyết minh số 9),Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 9),Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu về cho vay ngắn hạn (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu về cho vay ngắn hạn (Thuyết minh số 9),numeric__Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 9),numeric__Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 9)
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Không ty con,Cho vay,435.513.096.820,372.574.398.203,,,435513096820.0,372574398203.0
Công ty TNHH Sài Gòn Ngày Mới,Công ty TNHH Sài Gòn Ngày Mới,Công ty TNHH Sài Gòn Ngày Mới,Công ty con,Cho vay,21.331.758.192,-,,,21331758192.0,
Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty con,Cho vay,5.082.098.926,4.469.167.135,,,5082098926.0,4469167135.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Cho vay,1.095.791.363,13.698.331.562,,,1095791363.0,13698331562.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Cho vay,1.018.725.718,-,,,1018725718.0,
