row_label_raw,row_label_full,Công ty TNHH Tiến Phát Đông Bắc,Công ty liên kết,Dịch vụ xây dựng,58.099.184.383,-,numeric__Công ty liên kết,numeric__Dịch vụ xây dựng,numeric__58.099.184.383,numeric__-
Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty con,Dịch vụ xây dựng,28.613.081.719,31.091.249.415,,,28613081719.0,31091249415.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,86.712.266.102,31.091.249.415,,,86712266102.0,31091249415.0
