row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Đi vay,Số phát sinh trong năm > Trả nợ gốc vay,Số phát sinh trong năm > Phân loại lại,VND > Số cuối năm > Giá trị,VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Đi vay,numeric__Số phát sinh trong năm > Trả nợ gốc vay,numeric__Số phát sinh trong năm > Phân loại lại,numeric__VND > Số cuối năm > Giá trị,numeric__VND > Số cuối năm > Số có khả năng trả nợ
Short-term,Short-term,Short-term,3.843.154.373.212,3.843.154.373.212,10.960.517.268.704,(11.021.087.230.373),108.941.668.676,3.891.526.080.219,3.891.526.080.219,3843154373212.0,3843154373212.0,10960517268704.0,-11021087230373.0,108941668676.0,3891526080219.0,3891526080219.0
Vay ngân hàng (Thuyết minh số 22.1),Vay ngân hàng (Thuyết minh số 22.1),Vay ngân hàng (Thuyết minh số 22.1),3.734.881.635.903,3.734.881.635.903,10.957.027.443.277,(10.913.248.490.118),-,3.778.660.589.062,3.778.660.589.062,3734881635903.0,3734881635903.0,10957027443277.0,-10913248490118.0,,3778660589062.0,3778660589062.0
Vay bên khác (Thuyết minh số 22.2),Vay bên khác (Thuyết minh số 22.2),Vay bên khác (Thuyết minh số 22.2),8.443.468.633,8.443.468.633,3.489.825.427,(8.009.471.579),-,3.923.822.481,3.923.822.481,8443468633.0,8443468633.0,3489825427.0,-8009471579.0,,3923822481.0,3923822481.0
Vay dài hạn đến hạn trả (Thuyết minh số 22.3),Vay dài hạn đến hạn trả (Thuyết minh số 22.3),Vay dài hạn đến hạn trả (Thuyết minh số 22.3),99.829.268.676,99.829.268.676,-,(99.829.268.676),108.941.668.676,108.941.668.676,108.941.668.676,99829268676.0,99829268676.0,,-99829268676.0,108941668676.0,108941668676.0,108941668676.0
Long-term,Long-term,Long-term,311.794.637.141,311.794.637.141,\( \square \)3.371.412.750,(66.400.000.000),(108.941.668.676),149.824.381.215,149.824.381.215,311794637141.0,311794637141.0,,-66400000000.0,-108941668676.0,149824381215.0,149824381215.0
Vay dài hạn ngân hàng (Thuyết minh số 22.3),Vay dài hạn ngân hàng (Thuyết minh số 22.3),Vay dài hạn ngân hàng (Thuyết minh số 22.3),249.150.437.141,249.150.437.141,13.371.412.750,(7.400.000.000),(108.941.668.676),146.180.181.215,146.180.181.215,249150437141.0,249150437141.0,13371412750.0,-7400000000.0,-108941668676.0,146180181215.0,146180181215.0
Vay dài hạn bên liên quan (Thuyết minh số 22.4 và 31),Vay dài hạn bên liên quan (Thuyết minh số 22.4 và 31),Vay dài hạn bên liên quan (Thuyết minh số 22.4 và 31),62.644.200.000,62.644.200.000,-,(59.000.000.000),-,3.644.200.000,3.644.200.000,62644200000.0,62644200000.0,,-59000000000.0,,3644200000.0,3644200000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.154.949.010.353,4.154.949.010.353,10.973.888.681.454,(11.087.487.230.373),-,4.041.350.461.434,4.041.350.461.434,4154949010353.0,4154949010353.0,10973888681454.0,-11087487230373.0,,4041350461434.0,4041350461434.0
