row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,VND,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng,numeric__VND
Chi phí sản xuất kinh doanhđở dang,Chi phí sản xuất kinh doanhđở dang,Chi phí sản xuất kinh doanhđở dang,658.223.174.003,(1.768.250.000),297.819.140.447,,-,658223174003.0,-1768250000.0,297819140447.0,,
Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,644.114.131.427,,450.745.131.544,,-,644114131427.0,,450745131544.0,,
Hàng hóa bấtđộng sản,Hàng hóa bấtđộng sản,Hàng hóa bấtđộng sản,112.059.214.789,,75.166.223.967,,-,112059214789.0,,75166223967.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.414.396.520.219,(1.768.250.000),823.730.495.958,,-,1414396520219.0,-1768250000.0,823730495958.0,,
