row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Địa ốc Tiền Phát,Công ty con,Tạm ứng,93.517.962.067,93.000.000.000,numeric__Công ty con,numeric__Tạm ứng,numeric__93.517.962.067,numeric__93.000.000.000
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phíthầu phụ,44.299.227.584,44.965.368.765,,,44299227584.0,44965368765.0
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty con,Chi phíthầu phụ,2.477.443.397,-,,,2477443397.0,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,K□□ əhíthầu phụ,2.104.741.648,290.460.000,,,2104741648.0,290460000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,142.399.374.696,138.255.828.765,,,142399374696.0,138255828765.0
