row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.208.880.139,1.895.908.497.910,45.915.137.266,16.642.905.692,1.961.675.421.007,3208880139.0,1895908497910.0,45915137266.0,16642905692.0,1961675421007.0
Mua mới,Nguyên giá > Mua mới,Mua mới,1.915.530.309,167.939.223.420,3.822.545.500,2.185.152.096,175.862.451.325,1915530309.0,167939223420.0,3822545500.0,2185152096.0,175862451325.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,7.847.810.807,2.202.951.509,-,10.050.762.316,,7847810807.0,2202951509.0,,10050762316.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(124.190.804.566),(2.174.702.609),(178.083.000),(126.543.590.175),,-124190804566.0,-2174702609.0,-178083000.0,-126543590175.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.124.410.448,1.947.504.727.571,49.765.931.666,18.649.974.788,2.021.045.044.473,5124410448.0,1947504727571.0,49765931666.0,18649974788.0,2021045044473.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,106.891.065.404,4.896.616.726,4.485.671.861,116.273.353.991,,106891065404.0,4896616726.0,4485671861.0,116273353991.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,428.494.355,608.478.779.116,15.630.715.866,8.884.013.391,633.422.002.728,428494355.0,608478779116.0,15630715866.0,8884013391.0,633422002728.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,568.436.655,220.533.396.804,4.895.173.853,2.251.663.086,228.248.670.398,568436655.0,220533396804.0,4895173853.0,2251663086.0,228248670398.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(104.508.214.690),(2.129.195.795),(156.218.365),(106.793.628.850),,-104508214690.0,-2129195795.0,-156218365.0,-106793628850.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,996.931.010,724.503.961.230,18.396.693.924,10.979.458.112,754.877.044.276,996931010.0,724503961230.0,18396693924.0,10979458112.0,754877044276.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.780.385.784,1.287.429.718.794,30.284.421.400,7.758.892.301,1.328.253.418.279,2780385784.0,1287429718794.0,30284421400.0,7758892301.0,1328253418279.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,4.127.479.438,1.223.000.766.341,31.369.237.742,7.670.516.676,1.266.168.000.197,4127479438.0,1223000766341.0,31369237742.0,7670516676.0,1266168000197.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1 và 22.3),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1 và 22.3),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1 và 22.3),165.323.077,240.424.106.825,-,-,240.589.429.902,165323077.0,240424106825.0,,,240589429902.0
