row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,120.966.101.901,103.390.388.382,120966101901.0,103390388382.0
Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,97.424.470.859,81.430.673.334,97424470859.0,81430673334.0
Khác,Khác,Khác,23.541.631.042,21.959.715.048,23541631042.0,21959715048.0
Dài hạn,Dài hạn,Dài hạn,252.237.381.411,243.442.573.283,252237381411.0,243442573283.0
Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,163.720.383.167,155.801.001.224,163720383167.0,155801001224.0
Tiền thuê đất trả trước,Tiền thuê đất trả trước,Tiền thuê đất trả trước,58.333.342.612,59.581.549.972,58333342612.0,59581549972.0
Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,15.083.305.942,13.208.125.394,15083305942.0,13208125394.0
Khác,Khác,Khác,15.100.349.690,14.851.896.693,15100349690.0,14851896693.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,373.203.483.312,346.832.961.665,373203483312.0,346832961665.0
