row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay Triệu đồng,Năm trước Triệu đồng,numeric__Thuyết minh,numeric__Năm nay Triệu đồng,numeric__Năm trước Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,23,55.072.919,36.642.086,23.0,55072919.0,36642086.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,24,(33.635.452),(20.025.879),24.0,-33635452.0,-20025879.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,21.437.467,16.616.207,,21437467.0,16616207.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,5.882.677,7.996.176,,5882677.0,7996176.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(3.498.817),(3.117.254),,-3498817.0,-3117254.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,25,2.383.860,4.878.922,25.0,2383860.0,4878922.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,26,1.052.422,1.022.722,26.0,1052422.0,1022722.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,27,33.817,(19.983),27.0,33817.0,-19983.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,433.577,2.524.615,,433577.0,2524615.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(115.248),(118.468),,-115248.0,-118468.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,28,318.329,2.406.147,28.0,318329.0,2406147.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",29,297.848,256.820,29.0,297848.0,256820.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,25.523.743,25.160.835,,25523743.0,25160835.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,,(6.489.163),(6.562.922),,-6489163.0,-6562922.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,,(1.111.903),(636.529),,-1111903.0,-636529.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(4.853.918),(3.401.937),,-4853918.0,-3401937.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,30,(12.454.984),(10.601.388),30.0,-12454984.0,-10601388.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,13.068.759,14.559.447,,13068759.0,14559447.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,11,(3.785.444),(8.710.259),11.0,-3785444.0,-8710259.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,9.283.315,5.849.188,,9283315.0,5849188.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,21.1,(1.955.417),(1.053.220),211.0,-1955417.0,-1053220.0
Thu nhập/(chi phí) thuế thu nhập doanh nghiệp hoãn lại,Thu nhập/(chi phí) thuế thu nhập doanh nghiệp hoãn lại,Thu nhập/(chi phí) thuế thu nhập doanh nghiệp hoãn lại,21.2,141.458,(91.388),212.0,141458.0,-91388.0
Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,,(1.813.959),(1.144.608),,-1813959.0,-1144608.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,7.469.356,4.704.580,,7469356.0,4704580.0
