row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm Triệu đồng,Số đầu năm Triệu đồng,numeric__Thuyết minh,numeric__Số cuối năm Triệu đồng,numeric__Số đầu năm Triệu đồng
Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra Trong đó:,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra Trong đó:,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra Trong đó:,34,141.042.688,64.168.905,34.0,141042688.0,64168905.0
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,31.120,34.062,,31120.0,34062.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,,122.663.800,48.005.012,,122663800.0,48005012.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,449.709,983.192,,449709.0,983192.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,1.103.464,1.099.574,,1103464.0,1099574.0
- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,,121.110.627,45.922.246,,121110627.0,45922246.0
Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,,7.075.433,4.768.784,,7075433.0,4768784.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,11.272.335,11.361.047,,11272335.0,11361047.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,35,30.316.980,29.173.110,35.0,30316980.0,29173110.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,36,6.491.921,4.570.811,36.0,6491921.0,4570811.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,37,83.996.550,70.191.839,37.0,83996550.0,70191839.0
