row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.598.404,1.829.580,4.427.984,2598404.0,1829580.0,4427984.0
Tăng do mua mới và nâng cấp,Nguyên giá > Tăng do mua mới và nâng cấp,Tăng do mua mới và nâng cấp,-,3.970,3.970,,3970.0,3970.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,-,226.107,226.107,,226107.0,226107.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.934),(1.934),,-1934.0,-1934.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.598.404,2.057.723,4.656.127,2598404.0,2057723.0,4656127.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,63.788,1.352.710,1.416.498,63788.0,1352710.0,1416498.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,8.623,293.391,302.014,8623.0,293391.0,302014.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.934),(1.934),,-1934.0,-1934.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,72.411,1.644.167,1.716.578,72411.0,1644167.0,1716578.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.534.616,476.870,3.011.486,2534616.0,476870.0,3011486.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.525.993,413.556,2.939.549,2525993.0,413556.0,2939549.0
