row_label_raw,row_label_full,col_0,Khách hàng cá nhân và doanh nghiệp Triệu đồng,Đầu tư Triệu đồng,Hoạt động liên ngân hàng Triệu đồng,Hoạt động chung không phân bổ Triệu đồng,Tổng cộng Triệu đồng,numeric__Khách hàng cá nhân và doanh nghiệp Triệu đồng,numeric__Đầu tư Triệu đồng,numeric__Hoạt động liên ngân hàng Triệu đồng,numeric__Hoạt động chung không phân bổ Triệu đồng,numeric__Tổng cộng Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,7.256.184,7.256.184,,,,7256184.0,7256184.0
Tiền gửi tại NHNN Việt Nam,TÀI SẢN > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,11.411.883,-,11.411.883,,,11411883.0,,11411883.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,53.778.903,-,53.778.903,,,53778903.0,,53778903.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,465.251.667,-,-,-,465.251.667,465251667.0,,,,465251667.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,-,74.624.402,-,-,74.624.402,,74624402.0,,,74624402.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,3.276.379,-,-,3.276.379,,3276379.0,,,3276379.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,-,-,-,7.091.558,7.091.558,,,,7091558.0,7091558.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,40.939.415,1.689.207,203.364,3.406.700,46.238.686,40939415.0,1689207.0,203364.0,3406700.0,46238686.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,506.191.082,79.589.988,65.394.150,17.754.442,668.929.662,506191082.0,79589988.0,65394150.0,17754442.0,668929662.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,
Các khoản nợ Chính phủ và NHNN Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,-,-,19.328,-,19.328,,,19328.0,,19328.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,38.926.188,-,38.926.188,,,38926188.0,,38926188.0
Các công cụ tài chính phải sinh và các nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các nợ tài chính khác,Các công cụ tài chính phải sinh và các nợ tài chính khác,-,-,91.459,-,91.459,,,91459.0,,91459.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,506.435.603,-,-,-,506.435.603,506435603.0,,,,506435603.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,14.192.491,-,14.800.000,-,28.992.491,14192491.0,,14800000.0,,28992491.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,37.731.227,-,7.035.887,4.740.497,49.507.611,37731227.0,,7035887.0,4740497.0,49507611.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,558.359.321,-,60.872.862,4.740.497,623.972.680,558359321.0,,60872862.0,4740497.0,623972680.0
