row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,Tài sản tại ngày 31 tháng 12 năm 2023,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2023 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,47.975.084,5.803.819,53.778.903,47975084.0,5803819.0,53778903.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2023 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,471.855.680,-,471.855.680,471855680.0,,471855680.0
Chứng khoán đầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2023 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,89.240.070,-,89.240.070,89240070.0,,89240070.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2023 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",1.162.014,2.728.172,3.890.186,1162014.0,2728172.0,3890186.0
Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,Công nợ tại ngày 31 tháng 12 năm 2023,,,
Các khoản nợ Chính phủ và NHNN Việt Nam,Công nợ tại ngày 31 tháng 12 năm 2023 > Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,19.328,-,19.328,19328.0,,19328.0
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2023 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,37.326.332,1.599.856,38.926.188,37326332.0,1599856.0,38926188.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Công nợ tại ngày 31 tháng 12 năm 2023 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),60.881.285,-,60.881.285,60881285.0,,60881285.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2023 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,504.479.092,1.956.511,506.435.603,504479092.0,1956511.0,506435603.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2023 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,28.992.491,-,28.992.491,28992491.0,,28992491.0
Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2023 - gộp,Công nợ tại ngày 31 tháng 12 năm 2023 > Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2023 - gộp,Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2023 - gộp,140.495.033,790.827,141.285.860,140495033.0,790827.0,141285860.0
