row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,32.756.212,11.442.901,7.235.206,(2.974.924),-,42.845,5.143.008,45.521.466,99.166.714,32756212.0,11442901.0,7235206.0,-2974924.0,,42845.0,5143008.0,45521466.0,99166714.0
- Tăng vốn trong năm,Năm trước > - Tăng vốn trong năm,- Tăng vốn trong năm,1.552.928,15.505.305,-,-,-,-,-,-,17.058.233,1552928.0,15505305.0,,,,,,,17058233.0
- Tái phát hành cổ phiếu quỹ,Năm trước > - Tái phát hành cổ phiếu quỹ,- Tái phát hành cổ phiếu quỹ,-,3.316.770,-,690.865,-,-,-,1.672.306,5.679.941,,3316770.0,,690865.0,,,,1672306.0,5679941.0
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.545.915,170.698,7.716.613,,,,,,,7545915.0,170698.0,7716613.0
- Trích quỹ khác,Năm trước > - Trích quỹ khác,- Trích quỹ khác,-,-,-,-,-,10.000,(7.847),(2.153),-,,,,,,10000.0,-7847.0,-2153.0,
- Mua công ty con mới,Năm trước > - Mua công ty con mới,- Mua công ty con mới,-,-,-,-,-,-,-,483.660,483.660,,,,,,,,483660.0,483660.0
- Chuyển nhượng công ty con,Năm trước > - Chuyển nhượng công ty con,- Chuyển nhượng công ty con,-,-,-,-,-,-,(1.722.598),(1.469.197),(3.191.795),,,,,,,-1722598.0,-1469197.0,-3191795.0
- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mắt kiểm soát,Năm trước > - Thay đổi một phần lợi ích trong các công ty con hiện hữu không mắt kiểm soát,- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mắt kiểm soát,-,3.731.392,-,-,-,-,(3.731.961),5.166.823,5.166.254,,3731392.0,,,,,-3731961.0,5166823.0,5166254.0
- Công ty con mua lại cổ phiếu quỹ của công ty con,Năm trước > - Công ty con mua lại cổ phiếu quỹ của công ty con,- Công ty con mua lại cổ phiếu quỹ của công ty con,-,-,-,-,-,-,(4.106.759),(3.397.428),(7.504.187),,,,,,,-4106759.0,-3397428.0,-7504187.0
- Góp vốn từ cổ đông không kiểm soát,Năm trước > - Góp vốn từ cổ đông không kiểm soát,- Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,-,-,1.417.968,1.417.968,,,,,,,,1417968.0,1417968.0
- Cổ tức chia bởi các công ty con cho cổ đông không kiểm soát,Năm trước > - Cổ tức chia bởi các công ty con cho cổ đông không kiểm soát,- Cổ tức chia bởi các công ty con cho cổ đông không kiểm soát,-,-,-,-,-,-,-,(2.193.685),(2.193.685),,,,,,,,-2193685.0,-2193685.0
- Giảm cổ phiếu ưu đãi của công ty con,Năm trước > - Giảm cổ phiếu ưu đãi của công ty con,- Giảm cổ phiếu ưu đãi của công ty con,-,-,-,-,-,-,-,(3.093.749),(3.093.749),,,,,,,,-3093749.0,-3093749.0
- Thay đổi khác,Năm trước > - Thay đổi khác,- Thay đổi khác,-,-,-,-,(11.784),-,-,(105.594),(117.378),,,,,-11784.0,,,-105594.0,-117378.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,34.309.140,33.996.368,7.235.206,(2.284.059),(11.784),52.845,3.119.758,44.171.115,120.588.589,34309140.0,33996368.0,7235206.0,-2284059.0,-11784.0,52845.0,3119758.0,44171115.0,120588589.0
