row_label_raw,row_label_full,Giá trị (USD) > Giá trị trái phiếu hoán đổi,Số đầu năm > 450.000.000,Thay đổi trong năm > Phát hành thêm > -,Thay đổi trong năm > Đã hoán đổi thành cổ phiếu > -,Thay đổi trong năm > Đã đáo hạn không được hoán đổi thành cổ phiếu > -,Thay đổi trong năm > Mua lại trái phiếu > (209.400.000) > Đơn vị tính: triệu VND > Năm nay > 10.259.215,Thay đổi trong năm > Số cuối năm > 240.600.000 > Đơn vị tính: triệu VND > Năm trước > 10.205.665,numeric__Số đầu năm > 450.000.000,numeric__Thay đổi trong năm > Phát hành thêm > -,numeric__Thay đổi trong năm > Đã hoán đổi thành cổ phiếu > -,numeric__Thay đổi trong năm > Đã đáo hạn không được hoán đổi thành cổ phiếu > -,numeric__Thay đổi trong năm > Mua lại trái phiếu > (209.400.000) > Đơn vị tính: triệu VND > Năm nay > 10.259.215,numeric__Thay đổi trong năm > Số cuối năm > 240.600.000 > Đơn vị tính: triệu VND > Năm trước > 10.205.665
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,,,,,-,-,,,,,,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu vốn chủ sở hữu > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,,,,,10.259.215,10.205.665,,,,,10259215.0,10205665.0
Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,,,,,,,,,,,,
Số đầu năm,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Số đầu năm,Số đầu năm,,,,,81.913,26.113,,,,,81913.0,26113.0
Số phân bổ tăng trong năm,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,,,,,120.417,55.800,,,,,120417.0,55800.0
Số cuối năm,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu > Số cuối năm,Số cuối năm,,,,,202.330,81.913,,,,,202330.0,81913.0
Cộng: Lãi chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Lãi chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Lãi chênh lệch tỷ giá đánh giá lại số dư cuối năm,,,,,,,,,,,,
Mua lại trong năm,Cộng: Lãi chênh lệch tỷ giá đánh giá lại số dư cuối năm > Mua lại trong năm,Mua lại trong năm,,,,,(5.227),(2.250),,,,,-5227.0,-2250.0
,,,,,,,(4.868.759),-,,,,,-4868759.0,
Cơ cấu nợ gốc tại ngày cuối năm,Cộng: Lãi chênh lệch tỷ giá đánh giá lại số dư cuối năm > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,,,,,5.505.646,10.259.215,,,,,5505646.0,10259215.0
