row_label_raw,row_label_full,Số đầu năm,Đơn vị tính: triệu VND > Năm nay > 2.160.996,Đơn vị tính: triệu VND > Năm trước > 511.388,numeric__Đơn vị tính: triệu VND > Năm nay > 2.160.996,numeric__Đơn vị tính: triệu VND > Năm trước > 511.388
Cộng: Mua công ty con,Cộng: Mua công ty con,Cộng: Mua công ty con,23.000,-,23000.0,
Cộng: Dự phòng trích lập trong năm,Cộng: Dự phòng trích lập trong năm,Cộng: Dự phòng trích lập trong năm,1.064.263,2.198.940,1064263.0,2198940.0
Trừ: Sử dụng và hoàn nhập dự phòng trong năm,Trừ: Sử dụng và hoàn nhập dự phòng trong năm,Trừ: Sử dụng và hoàn nhập dự phòng trong năm,(2.136.987),(511.216),-2136987.0,-511216.0
Trừ: Bán công ty con,Trừ: Bán công ty con,Trừ: Bán công ty con,-,(38.116),,-38116.0
Số cuối năm,Số cuối năm,Số cuối năm,1.111.272,2.160.996,1111272.0,2160996.0
