row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VNDGiá trị hợp lý được xác định tại ngày hợp nhất kinh doanh,numeric__Đơn vị tính: triệu VNDGiá trị hợp lý được xác định tại ngày hợp nhất kinh doanh
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,9.070,9070.0
Phải thu khách hàng ngắn hạn,Tài sản > Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,1.161.810,1161810.0
Trả trước cho người bán ngắn hạn,Tài sản > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,190.256,190256.0
Phải thu khác,Tài sản > Phải thu khác,Phải thu khác,1.866.829,1866829.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,4.970.173,4970173.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,5.176.939,5176939.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản > Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,125.171,125171.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,1.113.930,1113930.0
,,,14.614.178,14614178.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,4.586.777,4586777.0
Vay và nợ,Nợ phải trả > Vay và nợ,Vay và nợ,410.000,410000.0
Doanh thu chưa thực hiện,Nợ phải trả > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,2.461.849,2461849.0
Thuế thu nhập doanh nghiệp hoãn lại phải trả,Nợ phải trả > Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,192.327,192327.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,4.928.428,4928428.0
,,,12.579.381,12579381.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,2.034.797,2034797.0
Lãi phát sinh từ hợp nhất kinh doanh,Nợ phải trả > Lãi phát sinh từ hợp nhất kinh doanh,Lãi phát sinh từ hợp nhất kinh doanh,268.626,268626.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,1.766.171,1766171.0
Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh,
Tiền thu về từ hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh > Tiền thu về từ hợp nhất kinh doanh,Tiền thu về từ hợp nhất kinh doanh,9.070,9070.0
Tiền chi để hợp nhất kinh doanh tính đến ngày 31 tháng 12 năm 2020,Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh > Tiền chi để hợp nhất kinh doanh tính đến ngày 31 tháng 12 năm 2020,Tiền chi để hợp nhất kinh doanh tính đến ngày 31 tháng 12 năm 2020,(1.766.171),-1766171.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ hợp nhất kinh doanh > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ hợp nhất kinh doanh,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ hợp nhất kinh doanh,(1.757.101),-1757101.0
