row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản (i),Ngắn hạn: > Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản (i),Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản (i),30.156.595,37.934.307,30156595.0,37934307.0
Đặt cọc cho hoạt động đầu tư,Ngắn hạn: > Đặt cọc cho hoạt động đầu tư,Đặt cọc cho hoạt động đầu tư,5.697.222,8.495.107,5697222.0,8495107.0
Quỹ bảo trì căn hộ (ii),Ngắn hạn: > Quỹ bảo trì căn hộ (ii),Quỹ bảo trì căn hộ (ii),2.297.299,1.691.419,2297299.0,1691419.0
"Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải trả trong vòng 12 tháng tiếp theo","Ngắn hạn: > Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải trả trong vòng 12 tháng tiếp theo","Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải trả trong vòng 12 tháng tiếp theo",599.618,605.510,599618.0,605510.0
Phải trả khác,Ngắn hạn: > Phải trả khác,Phải trả khác,4.699.455,4.137.981,4699455.0,4137981.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,43.450.189,52.864.324,43450189.0,52864324.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả ngắn hạn khác cho các bên liên quan(Thuyết minh số 37),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan(Thuyết minh số 37),Phải trả ngắn hạn khác cho các bên liên quan(Thuyết minh số 37),-,1.200.000,,1200000.0
Phải trả ngắn hạn khác cho các bên khác,Trong đó: > Phải trả ngắn hạn khác cho các bên khác,Phải trả ngắn hạn khác cho các bên khác,43.450.189,51.664.324,43450189.0,51664324.0
Dài hạn:,Dài hạn:,Dài hạn:,,,,
"Các khoản đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng","Dài hạn: > Các khoản đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng","Các khoản đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng",1.505.571,1.615.016,1505571.0,1615016.0
"Các khoản đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Dài hạn: > Các khoản đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Các khoản đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo",(599.618),(605.510),-599618.0,-605510.0
Đặt cọc chuyển nhượng dự án bất động sản,Dài hạn: > Đặt cọc chuyển nhượng dự án bất động sản,Đặt cọc chuyển nhượng dự án bất động sản,3.727.387,-,3727387.0,
Đặt cọc cho hoạt động đầu tư,Dài hạn: > Đặt cọc cho hoạt động đầu tư,Đặt cọc cho hoạt động đầu tư,1.080.233,-,1080233.0,
Các khoản phải trả dài hạn khác,Dài hạn: > Các khoản phải trả dài hạn khác,Các khoản phải trả dài hạn khác,543.645,20.288,543645.0,20288.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,6.257.218,1.029.794,6257218.0,1029794.0
