row_label_raw,row_label_full,TT,Tên công ty,Tên viết tắt,Tỷ lệ biểu quyết (%) (*),Tỷ lệ lợi ích (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tên viết tắt,numeric__Tỷ lệ biểu quyết (%) (*),numeric__Tỷ lệ lợi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty Cổ phần Vincom Retail,Công ty Vincom Retail,"60,33","60,30",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Cho thuê mặt bằng, đầu tư, xây dựng và kinh doanh bất động sản",,,60.33,60.3,,
2,2,2,Công ty TNHH Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,"100,00","60,30","Số 72 Lê Thánh Tôn và số 45A Lý Tư Trọng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Cho thuê mặt bằng, đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,60.3,,
3,3,3,Công ty TNHH Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,"100,00","60,30","Số 72A Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","Cho thuê mặt bằng, đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,60.3,,
4,4,4,Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,Công ty Suối Hoa,"97,27","58,66","Km1 + 200, đường Trần Hưng Đạo, Phường Suối Hoa, Thành phố Bắc Ninh, Tĩnh Bắc Ninh, Việt Nam","Cho thuê mặt bằng, đầu tư, xây dựng và kinh doanh bất động sản",,,97.27,58.66,,
5,5,5,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Hà Thành,Công ty Hà Thành,"100,00","60,30",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Cho thuê mặt bằng, đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,60.3,,
6,6,6,Công ty Cổ phần Vinhomes,Công ty Vinhomes,"73,66","72,33","Tòa nhà văn phòng Symphony, Đường Chu Huy Mân, Khu đồ thị sinh thái Vinhomes Riverside, Phường Phúc Lợi, Quận Long Biên, Thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sảnCho thuê văn phòng, căn hộ và cung cấp dịch vụ quản lý bất động sảnXây dựng nhà và các công trình kỹ thuật dân dụng",,,73.66,72.33,,
7,7,7,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,Công ty Hoàng Gia,"97,85","70,78","Số 72A, đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,,97.85,70.78,,
8,8,8,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Sài Đồng,"100,00","72,27",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,72.27,,
9,9,9,Công ty Cổ phần Bất động sản Xavinco,Công ty Xavinco,"96,44","96,15","Số 191 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,,96.44,96.15,,
10,10,10,Công ty TNHH Xalivico,Công ty Xalivico,"74,00","71,15","Số 233, đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,,74.0,71.15,,
