row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Bản quyền và các tài sản cố định vô hình liên quan khác,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Bản quyền và các tài sản cố định vô hình liên quan khác,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,292.933,2.159.126,18.400.746,495.446,21.348.251,292933.0,2159126.0,18400746.0,495446.0,21348251.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,360.504,18.495,46.540,425.539,,360504.0,18495.0,46540.0,425539.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),-,474.808,2.375.011,449.679,3.299.498,,474808.0,2375011.0,449679.0,3299498.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,132.722,679,-,1.352,134.753,132722.0,679.0,,1352.0,134753.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,12.396,92.636,(27.308),(437.874),(360.150),12396.0,92636.0,-27308.0,-437874.0,-360150.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,438.051,3.087.753,20.766.944,555.143,24.847.891,438051.0,3087753.0,20766944.0,555143.0,24847891.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,72.249,225,942,73.416,,72249.0,225.0,942.0,73416.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,49.171,367.072,633.323,328.393,1.377.959,49171.0,367072.0,633323.0,328393.0,1377959.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,17.271,405.281,1.341.414,54.754,1.818.720,17271.0,405281.0,1341414.0,54754.0,1818720.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,32.288,679,-,135,33.102,32288.0,679.0,,135.0,33102.0
Thay đổi khác,Giá trị hao mòn lũy kế: > Thay đổi khác,Thay đổi khác,(3.179),55.248,(738),(259.928),(208.597),-3179.0,55248.0,-738.0,-259928.0,-208597.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,95.551,828.280,1.973.999,123.354,3.021.184,95551.0,828280.0,1973999.0,123354.0,3021184.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,243.762,1.792.054,17.767.423,167.053,19.970.292,243762.0,1792054.0,17767423.0,167053.0,19970292.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,342.500,2.259.473,18.792.945,431.789,21.826.707,342500.0,2259473.0,18792945.0,431789.0,21826707.0
