row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,5.175.983,7.651.830,5175983.0,7651830.0
- Chi phí nhân viên bán hàng,Chi phí bán hàng > - Chi phí nhân viên bán hàng,- Chi phí nhân viên bán hàng,1.387.606,4.596.982,1387606.0,4596982.0
"- Chi phí khấu hao, hao mòn tài sản cố định","Chi phí bán hàng > - Chi phí khấu hao, hao mòn tài sản cố định","- Chi phí khấu hao, hao mòn tài sản cố định",96.232,1.041.151,96232.0,1041151.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,593.764,958.485,593764.0,958485.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,7.253.585,14.248.448,7253585.0,14248448.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên quản lý,- Chi phí nhân viên quản lý,3.581.266,5.002.408,3581266.0,5002408.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,2.049.541,2.750.953,2049541.0,2750953.0
- Chi phí hỗ trợ và từ thiện,Chi phí quản lý doanh nghiệp > - Chi phí hỗ trợ và từ thiện,- Chi phí hỗ trợ và từ thiện,1.650.188,1.284.513,1650188.0,1284513.0
- Chi phí khấu hao và phân bổ lợi thế thương mại,Chi phí quản lý doanh nghiệp > - Chi phí khấu hao và phân bổ lợi thế thương mại,- Chi phí khấu hao và phân bổ lợi thế thương mại,1.386.416,2.006.510,1386416.0,2006510.0
- Chi phí dự phòng và chi phí khác (i),Chi phí quản lý doanh nghiệp > - Chi phí dự phòng và chi phí khác (i),- Chi phí dự phòng và chi phí khác (i),4.735.678,1.633.054,4735678.0,1633054.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,13.403.089,12.677.438,13403089.0,12677438.0
