row_label_raw,row_label_full,Số đầu năm,Đơn vị tính: triệu VND > Năm nay > 48.057.748,Đơn vị tính: triệu VND > Năm trước > 58.529.123,numeric__Đơn vị tính: triệu VND > Năm nay > 48.057.748,numeric__Đơn vị tính: triệu VND > Năm trước > 58.529.123
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,17.473.382,23.034.155,17473382.0,23034155.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,27.038.857,60.466.494,27038857.0,60466494.0
Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),(14.706.809),(51.578.417),-14706809.0,-51578417.0
Chuyển sang tài sản cố định vô hình(Thuyết minh số 15),Chuyển sang tài sản cố định vô hình(Thuyết minh số 15),Chuyển sang tài sản cố định vô hình(Thuyết minh số 15),(3.299.498),(19.415.370),-3299498.0,-19415370.0
Chuyển sang bắt động sản đầu tư(Thuyết minh số 16),Chuyển sang bắt động sản đầu tư(Thuyết minh số 16),Chuyển sang bắt động sản đầu tư(Thuyết minh số 16),(2.620.200),(3.908.341),-2620200.0,-3908341.0
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(4.021.861),(17.608.708),-4021861.0,-17608708.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,-,(1.461.188),,-1461188.0
Số cuối năm,Số cuối năm,Số cuối năm,67.921.619,48.057.748,67921619.0,48057748.0
