row_label_raw,row_label_full,col_0,"Quyền sử dụng đất và nhà cửa, vật kiến trúc",Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,"numeric__Quyền sử dụng đất và nhà cửa, vật kiến trúc",numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,"Quyền sử dụng đất và nhà cửa, vật kiến trúc","Máy móc, thiết bị",Tổng cộng,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,32.699.848,6.378.670,39.078.518,32699848.0,6378670.0,39078518.0
Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Xây dựng cơ bản hoàn thành (Thuyết minh số 18),2.068.415,551.785,2.620.200,2068415.0,551785.0,2620200.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Nguyên giá: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),524.321,127.081,651.402,524321.0,127081.0,651402.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(308.206),(13.879),(322.085),-308206.0,-13879.0,-322085.0
Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Nguyên giá: > Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),(561.738),(215.665),(777.403),-561738.0,-215665.0,-777403.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(50.413),47.896,(2.517),-50413.0,47896.0,-2517.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,34.372.227,6.875.888,41.248.115,34372227.0,6875888.0,41248115.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,3.398.970,1.807.290,5.206.260,3398970.0,1807290.0,5206260.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,960.162,629.099,1.589.261,960162.0,629099.0,1589261.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Giá trị khấu hao lũy kế: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),73.740,56.709,130.449,73740.0,56709.0,130449.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(21.832),(4.386),(26.218),-21832.0,-4386.0,-26218.0
Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Giá trị khấu hao lũy kế: > Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),(212.760),(161.610),(374.370),-212760.0,-161610.0,-374370.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(9.167),6.034,(3.133),-9167.0,6034.0,-3133.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,4.189.113,2.333.136,6.522.249,4189113.0,2333136.0,6522249.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,29.300.878,4.571.380,33.872.258,29300878.0,4571380.0,33872258.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,30.183.114,4.542.752,34.725.866,30183114.0,4542752.0,34725866.0
