row_label_raw,row_label_full,col_0,Công ty Nam Hà Nội,Công ty Sài Đồng,Công ty Hoàng Gia,Công ty Bảo Lai,Đơn vị tính: triệu VND > Các công ty con khác,Đơn vị tính: triệu VND > Tổng cộng,numeric__Công ty Nam Hà Nội,numeric__Công ty Sài Đồng,numeric__Công ty Hoàng Gia,numeric__Công ty Bảo Lai,numeric__Đơn vị tính: triệu VND > Các công ty con khác,numeric__Đơn vị tính: triệu VND > Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.629.906,2.150.488,1.002.332,-,2.764.916,7.547.642,1629906.0,2150488.0,1002332.0,,2764916.0,7547642.0
Phát sinh từ hợp nhất kinh doanh,Nguyên giá: > Phát sinh từ hợp nhất kinh doanh,Phát sinh từ hợp nhất kinh doanh,-,-,-,932.903,80.326,1.013.229,,,,932903.0,80326.0,1013229.0
Giảm trong năm,Nguyên giá: > Giảm trong năm,Giảm trong năm,(54.926),(556.754),(152.439),-,(53.014),(817.133),-54926.0,-556754.0,-152439.0,,-53014.0,-817133.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.574.980,1.593.734,849.893,932.903,2.792.228,7.743.738,1574980.0,1593734.0,849893.0,932903.0,2792228.0,7743738.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,1.310.763,1.413.647,828.339,-,1.620.754,5.173.503,1310763.0,1413647.0,828339.0,,1620754.0,5173503.0
Phân bổ trong năm,Giá trị hao mòn lũy kế: > Phân bổ trong năm,Phân bổ trong năm,164.487,216.933,102.267,-,220.885,704.572,164487.0,216933.0,102267.0,,220885.0,704572.0
Giảm trong năm,Giá trị hao mòn lũy kế: > Giảm trong năm,Giảm trong năm,(46.088),(421.493),(136.404),-,(18.816),(622.801),-46088.0,-421493.0,-136404.0,,-18816.0,-622801.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,1.429.162,1.209.087,794.202,-,1.822.823,5.255.274,1429162.0,1209087.0,794202.0,,1822823.0,5255274.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,319.143,736.841,173.993,-,1.144.162,2.374.139,319143.0,736841.0,173993.0,,1144162.0,2374139.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,145.818,384.647,55.691,932.903,969.405,2.488.464,145818.0,384647.0,55691.0,932903.0,969405.0,2488464.0
