row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: triệu VND Số đầu năm,Đơn vị tính: triệu VND Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: triệu VND Số đầu năm,numeric__Đơn vị tính: triệu VND Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,839.714,(6.414),958.748,(9.356),839714.0,-6414.0,958748.0,-9356.0
Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,53.496.581,(14.721),70.581.103,(22.647),53496581.0,-14721.0,70581103.0,-22647.0
"Hàng hóa siêu thị, cửa hàng tiện dụng và hàng hóa, thành phẩm khác","Hàng hóa siêu thị, cửa hàng tiện dụng và hàng hóa, thành phẩm khác","Hàng hóa siêu thị, cửa hàng tiện dụng và hàng hóa, thành phẩm khác",302.595,(250),679.970,-,302595.0,-250.0,679970.0,
Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,1.195.286,(205.314),1.182.274,(271.287),1195286.0,-205314.0,1182274.0,-271287.0
Thành phẩm hàng tồn kho hoạt động sản xuất,Thành phẩm hàng tồn kho hoạt động sản xuất,Thành phẩm hàng tồn kho hoạt động sản xuất,2.109.614,(239.369),5.532.541,(587.327),2109614.0,-239369.0,5532541.0,-587327.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,4.186.783,(578.246),5.810.242,(1.091.703),4186783.0,-578246.0,5810242.0,-1091703.0
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,741.030,(42.417),772.066,(176.719),741030.0,-42417.0,772066.0,-176719.0
Hàng tồn kho khác,Hàng tồn kho khác,Hàng tồn kho khác,734.938,(24.541),452.808,(1.957),734938.0,-24541.0,452808.0,-1957.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,63.606.541,(1.111.272),85.969.752,(2.160.996),63606541.0,-1111272.0,85969752.0,-2160996.0
