row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích (%),Tỷ lệ lợi ích (%)_1,Tỷ lệ biểu quyết (%),Tỷ lệ biểu quyết (%)_1,Hoạt động chính,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ lợi ích (%)_1,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ biểu quyết (%)_1,numeric__Hoạt động chính
Tên công ty,Tên công ty,Tên công ty,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,Hoạt động chính,,,,,
Công ty Du lịch Phú Quốc,Tên công ty > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,(*),"29,99",(*),"30,00",Cung cấp dịch vụ lưu trú ngắn ngày,,29.99,,30.0,
Công ty Việt Thắng,Tên công ty > Công ty Việt Thắng,Công ty Việt Thắng,-,"40,00",-,"40,00",Sản xuất thức ăn chăn nuôi,,40.0,,40.0,
"Công ty Cổ phần Giống vật nuôi Hà Nội (""Công ty Giống vật nuôi Hà Nội"")","Tên công ty > Công ty Cổ phần Giống vật nuôi Hà Nội (""Công ty Giống vật nuôi Hà Nội"")","Công ty Cổ phần Giống vật nuôi Hà Nội (""Công ty Giống vật nuôi Hà Nội"")","26,34","37,63","37,63","37,63",Chăn nuôi gia súc,26.34,37.63,37.63,37.63,
"Công ty TNHH Linh kiện nhựa ô tô Vinfast-An Phát (""Công ty Vinfast-An Phát"")","Tên công ty > Công ty TNHH Linh kiện nhựa ô tô Vinfast-An Phát (""Công ty Vinfast-An Phát"")","Công ty TNHH Linh kiện nhựa ô tô Vinfast-An Phát (""Công ty Vinfast-An Phát"")","25,76","25,57","50,00","50,00",Sản xuất linh kiện nhựa ô tô,25.76,25.57,50.0,50.0,
"Công ty Cổ phần In sách Việt Nam (""Công ty In sách Việt Nam"")","Tên công ty > Công ty Cổ phần In sách Việt Nam (""Công ty In sách Việt Nam"")","Công ty Cổ phần In sách Việt Nam (""Công ty In sách Việt Nam"")","18,13","18,13","27,76","27,76",In ấn,18.13,18.13,27.76,27.76,
"Công ty TNHH Sản xuất Pin Lithium Vinfast (""Công ty Pin Lithium Vinfast"")","Tên công ty > Công ty TNHH Sản xuất Pin Lithium Vinfast (""Công ty Pin Lithium Vinfast"")","Công ty TNHH Sản xuất Pin Lithium Vinfast (""Công ty Pin Lithium Vinfast"")","33,49","33,25","65,00","65,00",Sản xuất pin và ắc quy,33.49,33.25,65.0,65.0,
"Công ty TNHH Công nghệ Vin-ACE (""Công ty Công nghệ Vin-ACE"")","Tên công ty > Công ty TNHH Công nghệ Vin-ACE (""Công ty Công nghệ Vin-ACE"")","Công ty TNHH Công nghệ Vin-ACE (""Công ty Công nghệ Vin-ACE"")","24,81",-,"40,00",-,Sản xuất linh kiện điện tử và thiết bị truyền thông,24.81,,40.0,,
Công ty MV1 (Thuyết minh số 4.3),Tên công ty > Công ty MV1 (Thuyết minh số 4.3),Công ty MV1 (Thuyết minh số 4.3),"14,45",-,"20,00",-,"Đầu tư, xây dựng và kinh doanh bất động sản",14.45,,20.0,,
Công ty TNHH Khai thác và Chế biến đá Tường Phú,Tên công ty > Công ty TNHH Khai thác và Chế biến đá Tường Phú,Công ty TNHH Khai thác và Chế biến đá Tường Phú,"25,85",-,"40,00",-,Khai thác khoáng sản,25.85,,40.0,,
