row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam,Số cuối năm > Nguyên tệ > VND,Số cuối năm > Triệu VND > 590.000,Ngày đảo hạn > Tháng 1 năm 2021,Tài sản đảm bảo > (i),numeric__Số cuối năm > Nguyên tệ > VND,numeric__Số cuối năm > Triệu VND > 590.000,numeric__Ngày đảo hạn > Tháng 1 năm 2021,numeric__Tài sản đảm bảo > (i)
Các tổ chức tài chính khác,Các tổ chức tài chính khác,Các tổ chức tài chính khác,"EUR, VND",497.885,,(ii),,497885.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,1.087.885,,,,1087885.0,,
Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2020 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2020 như sau:,,,,
Khoản vay,Khoản vay,Khoản vay,Nguyên tệ,Nguyên tệ,Lãi suất,Lãi suất,,,,
Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,VND,"Lãi suất cố định, lãi suất trong năm từ 4,9%/năm đến 6,8%/năm","Lãi suất cố định, lãi suất trong năm từ 4,9%/năm đến 6,8%/năm","Lãi suất cố định, lãi suất trong năm từ 4,9%/năm đến 6,8%/năm",,,,
Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,EUR,"Lãi suất thả nổi, lãi suất Euribor 12 tháng cộng (+) biên độ 3%/năm","Lãi suất thả nổi, lãi suất Euribor 12 tháng cộng (+) biên độ 3%/năm","Lãi suất thả nổi, lãi suất Euribor 12 tháng cộng (+) biên độ 3%/năm",,,,
"(i) Tại ngày 31 tháng 12 năm 2020, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số tài sản cố định hữu hình (Thuyết minh số 14); và- một số cổ phiếu của một công ty con nấm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2020, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số tài sản cố định hữu hình (Thuyết minh số 14); và- một số cổ phiếu của một công ty con nấm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2020, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số tài sản cố định hữu hình (Thuyết minh số 14); và- một số cổ phiếu của một công ty con nấm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2020, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số tài sản cố định hữu hình (Thuyết minh số 14); và- một số cổ phiếu của một công ty con nấm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2020, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số tài sản cố định hữu hình (Thuyết minh số 14); và- một số cổ phiếu của một công ty con nấm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2020, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số tài sản cố định hữu hình (Thuyết minh số 14); và- một số cổ phiếu của một công ty con nấm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2020, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số tài sản cố định hữu hình (Thuyết minh số 14); và- một số cổ phiếu của một công ty con nấm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.",,,,
