row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Đơn vị tính: triệu VND > Số đã nộp/cấn trừ trong năm,Đơn vị tính: triệu VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Đơn vị tính: triệu VND > Số đã nộp/cấn trừ trong năm,numeric__Đơn vị tính: triệu VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,559.321,3.607.375,(3.679.364),487.332,559321.0,3607375.0,-3679364.0,487332.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.060.407,10.133.851,(8.526.916),4.667.342,3060407.0,10133851.0,-8526916.0,4667342.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,238.297,1.695.775,(1.732.423),201.649,238297.0,1695775.0,-1732423.0,201649.0
"Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Phải nộp > Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao",1.662.222,212.789,(327.917),1.547.094,1662222.0,212789.0,-327917.0,1547094.0
Thuế và các khoản phải nộp Nhà nước khác,Phải nộp > Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,471.428,5.777.434,(5.347.043),901.819,471428.0,5777434.0,-5347043.0,901819.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,5.991.675,21.427.224,(19.613.663),7.805.236,5991675.0,21427224.0,-19613663.0,7805236.0
,,,Số đầu năm,Số phải thu trong năm,Số đã thu/cấn trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,65.864,882.782,(40.374),908.272,65864.0,882782.0,-40374.0,908272.0
Thuế và các khoản phải thu Nhà nước khác,Phải thu > Thuế và các khoản phải thu Nhà nước khác,Thuế và các khoản phải thu Nhà nước khác,2.936,4.956,(2.177),5.715,2936.0,4956.0,-2177.0,5715.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,68.800,887.738,(42.551),913.987,68800.0,887738.0,-42551.0,913987.0
