row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,18.511.262,17.563.738,18511262.0,17563738.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,18.511.262,17.563.738,18511262.0,17563738.0
