row_label_raw,row_label_full,Bên liên quan > Quỹ Thiện Tâm,Mối quan hệ > Cùng chủ sở hữu,Nội dung nghiệp vụ > Chỉ phí từ thiện phát sinh trong năm,Đơn vị tính: triệu VND > Năm nay > 908.046,Đơn vị tính: triệu VND > Năm trước > 1.200.000,numeric__Mối quan hệ > Cùng chủ sở hữu,numeric__Nội dung nghiệp vụ > Chỉ phí từ thiện phát sinh trong năm,numeric__Đơn vị tính: triệu VND > Năm nay > 908.046,numeric__Đơn vị tính: triệu VND > Năm trước > 1.200.000
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Chuyển tiền cho mục đích từ thiện,2.617.100,180.000,,,2617100.0,180000.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,"Phải thu từ cung cấp hàng hóa, dịch vụ khám chữa bệnh",38.486,153.576,,,38486.0,153576.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,"Thu tiền từ cung cấp hàng hóa, dịch vụ khám chữa bệnh",57.217,258.724,,,57217.0,258724.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Thu hồi tiền,-,1.134.000,,,,1134000.0
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết đến ngày 30 tháng 9 năm 2020,Phải thu từ cung cấp dịch vụ tổng thầu xây dựng,-,4.567.438,,,,4567438.0
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết đến ngày 30 tháng 9 năm 2020,Thu tiền lợi nhuận chia sẻ theo hợp đồng hợp tác kinh doanh,-,249.112,,,,249112.0
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết đến ngày 30 tháng 9 năm 2020,Phải thu từ bán hàng và cung cấp dịch vụ,-,124.206,,,,124206.0
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết đến ngày 30 tháng 9 năm 2020,Trả tiền mua tài sản,-,441.432,,,,441432.0
Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty liên doanh,Chuyển tiền góp vốn,-,188.906,,,,188906.0
Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty liên doanh,Phải thu từ thanh lý tài sản,67.840,403.988,,,67840.0,403988.0
Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty liên doanh,Thu tiền từ thanh lý tài sản và cung cấp nguyên vật liệu,239.323,205.399,,,239323.0,205399.0
Công ty TNHH Linh kiện nhựa ô tô Vinfast-An Phát,Công ty TNHH Linh kiện nhựa ô tô Vinfast-An Phát,Công ty TNHH Linh kiện nhựa ô tô Vinfast-An Phát,Công ty liên kết,Chuyển tiền góp vốn,-,74.000,,,,74000.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Cùng chủ sở hữu,"Mua dịch vụ thuê văn phòng, khách sạn và ăn ca",58.947,66.778,,,58947.0,66778.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Cùng chủ sở hữu,Phải thu bán hàng và cung cấp dịch vụ,102.000,44.791,,,102000.0,44791.0
Các cá nhân,Các cá nhân,Các cá nhân,Các cổ đông lớn và các bên liên quan khác,Phải thu chỉ hộ góp vốn,3.564.495,-,,,3564495.0,
