row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VNDGiá trị hợp lý được xác định tạm thời tại ngày mua,numeric__Đơn vị tính: triệu VNDGiá trị hợp lý được xác định tạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,44.594,44594.0
Phải thu ngắn hạn của khách hàng,Tài sản > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,65.421,65421.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,178.318,178318.0
Chi phí trả trước,Tài sản > Chi phí trả trước,Chi phí trả trước,113.679,113679.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,1.536.244,1536244.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,120.116,120116.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,96.240,96240.0
,,,2.154.612,2154612.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,37.598,37598.0
Vay và nợ,Nợ phải trả > Vay và nợ,Vay và nợ,504.792,504792.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,48.043,48043.0
,,,590.433,590433.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,1.564.179,1564179.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,282.918,282918.0
Lợi thế thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,932.903,932903.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,2.780.000,2780000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,44.594,44594.0
Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2020,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2020,Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2020,(2.700.000),-2700000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(2.655.406),-2655406.0
