row_label_raw,row_label_full,Bên cho vay/thu xếp tín dụng > Ngân hàng TMCP Ngoại thương Việt Nam,Số cuối năm > Nguyên tệ > VND,Số cuối năm > Triệu VND > 481.600,Ngày đảo hạn > Từ tháng 1 năm 2021 đến tháng 10 năm 2025,Tài sản đảm bảo > (ii),numeric__Số cuối năm > Nguyên tệ > VND,numeric__Số cuối năm > Triệu VND > 481.600,numeric__Ngày đảo hạn > Từ tháng 1 năm 2021 đến tháng 10 năm 2025,numeric__Tài sản đảm bảo > (ii)
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,VND,90.000,,,,90000.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,128.625,Từ tháng 1 năm 2021 đến tháng 12 năm 2024,(ii),,128625.0,,
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,VND,28.160,,,,28160.0,,
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,VND,1.371.098,Tháng 1 năm 2021,(ii),,1371098.0,,
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,VND,1.371.098,,,,1371098.0,,
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,VND,218.157,Từ tháng 1 năm 2021 đến tháng 4 năm 2023,(ii),,218157.0,,
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,VND,90.259,,,,90259.0,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,329.246,Từ tháng 3 năm 2021 đến tháng 6 năm 2022,(ii),,329246.0,,
,,,USD,175.534,,,,175534.0,,
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,VND,9.839,,,,9839.0,,
Một số đối tác doanh nghiệp,Một số đối tác doanh nghiệp,Một số đối tác doanh nghiệp,VND,5.320.000,Từ tháng 4 năm 2022 đến tháng 11 năm 2022,(i),,5320000.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 1,Các bên thu xếp tín dụng của khoản vay hợp vốn 1,Các bên thu xếp tín dụng của khoản vay hợp vốn 1,USD,18.225.639,Từ tháng 3 năm 2021 đến tháng 9 năm 2030,(ii),,18225639.0,,
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,2.125.995,,,,2125995.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Các bên thu xếp tín dụng của khoản vay hợp vốn 2,USD,7.702.234,Từ tháng 4 năm 2021 đến tháng 4 năm 2023,(ii),,7702234.0,,
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,1.382.880,,,,1382880.0,,
