row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bị vănphòng,Tài sản cốđịnh khác,Đơn vị tính: triệu VND,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị vănphòng,numeric__Tài sản cốđịnh khác,numeric__Đơn vị tính: triệu VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,43.157.563,52.838.016,1.923.852,1.034.224,1.085.375,100.039.030,43157563.0,52838016.0,1923852.0,1034224.0,1085375.0,100039030.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,144.610,341.097,245.445,124.770,67.853,923.775,144610.0,341097.0,245445.0,124770.0,67853.0,923775.0
Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Xây dựng cơ bản hoàn thành (Thuyết minh số 18),8.700.956,5.552.574,78.914,-,374.365,14.706.809,8700956.0,5552574.0,78914.0,,374365.0,14706809.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,5.865.485,1.326.051,140.457,9.969,308.618,7.650.580,5865485.0,1326051.0,140457.0,9969.0,308618.0,7650580.0
Phân loại lại từ bất động sản đầu tư (Thuyết minh số 16),Nguyên giá: > Phân loại lại từ bất động sản đầu tư (Thuyết minh số 16),Phân loại lại từ bất động sản đầu tư (Thuyết minh số 16),561.738,215.665,-,-,-,777.403,561738.0,215665.0,,,,777403.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,738.206,(860.634),(3.152),(230.183),355.763,-,738206.0,-860634.0,-3152.0,-230183.0,355763.0,
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(292.156),(135.174),(279.805),(36.953),(3.696),(747.784),-292156.0,-135174.0,-279805.0,-36953.0,-3696.0,-747784.0
Phân loại lại sang bất động sản đầu tư (Thuyết minh số 16),Nguyên giá: > Phân loại lại sang bất động sản đầu tư (Thuyết minh số 16),Phân loại lại sang bất động sản đầu tư (Thuyết minh số 16),(524.321),(127.081),-,-,-,(651.402),-524321.0,-127081.0,,,,-651402.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(621),(99.981),153.344,(9.609),(41.994),1.139,-621.0,-99981.0,153344.0,-9609.0,-41994.0,1139.0
