row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam > Công ty Cổ phần Chứng khoán Kỹ thương Việt Nam,Số cuối năm(triệu VND) > 2.598.976 > 42.269.649,Ngày đáo hạn > Tháng 3 năm 2022 > Từ tháng 1 năm 2021đến tháng 2 năm 2026,"Lãi suất > Lãi suất thả nổi, lãi suất trong năm từ 9%/năm đến10%/năm > Lãi suất thả nổi, lãi suất trong năm từ 8,95%/năm đến11,4%/năm. Lãi suất cổ định từ 7,75%/năm đến8,5%/năm",Tài sảnđảm bảo > (i),numeric__Số cuối năm(triệu VND) > 2.598.976 > 42.269.649,numeric__Ngày đáo hạn > Tháng 3 năm 2022 > Từ tháng 1 năm 2021đến tháng 2 năm 2026,"numeric__Lãi suất > Lãi suất thả nổi, lãi suất trong năm từ 9%/năm đến10%/năm > Lãi suất thả nổi, lãi suất trong năm từ 8,95%/năm đến11,4%/năm. Lãi suất cổ định từ 7,75%/năm đến8,5%/năm",numeric__Tài sảnđảm bảo > (i)
Trong đó: trái phiếu dài hạn đến hạn trả,Trong đó: trái phiếu dài hạn đến hạn trả,Trong đó: trái phiếu dài hạn đến hạn trả,14.265.844,,,,14265844.0,,,
Công ty Cổ phần Chứng khoán KB Việt Nam,Công ty Cổ phần Chứng khoán KB Việt Nam,Công ty Cổ phần Chứng khoán KB Việt Nam,3.991.634,Tháng 12 năm 2022 đếntháng 5 năm 2023,"Lãi suất thả nổi, lãi suất trong năm từ 9,5%/năm đến10,8%/năm",(i),3991634.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,48.860.259,,,,48860259.0,,,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,34.594.415,,,,34594415.0,,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,14.265.844,,,,14265844.0,,,
