row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu cung cấp dịch vụ bệnh viện,5.096,23.501,,,5096.0,23501.0
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết đến ngày 30 tháng 9 năm 2020,"Phải thu từ cung cấp hàng hóa, dịch vụ tư vấn, tổng thầu xây dựng",-,4.567.438,,,,4567438.0
Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty TNHH Sản xuất Pin Lithium Vinfast,Công ty liên doanh,Phải thu từ thanh lý tài sản,27.106,198.589,,,27106.0,198589.0
,,,,,32.202,4.789.528,,,32202.0,4789528.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Các cá nhân,Phải thu ngắn hạn khác (Thuyết minh số 9) > Các cá nhân,Các cá nhân,Các cổ đông lớn và các bên liên quan khác,Phải thu chi hộ góp vốn,3.564.495,-,,,3564495.0,
Quỹ Thiện Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu chi phí từ thiện,509.054,-,,,509054.0,
,,,,,4.073.549,-,,,4073549.0,
Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),,,,
Công ty Du lịch Phú Quốc,Doanh thu chưa thực hiện (Thuyết minh số 24) > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết đến ngày 30 tháng 9 năm 2020,Doanh thu chưa thực hiện từ thanh lý tài sản và cung cấp dịch vụ,-,769.867,,,,769867.0
Công ty MV1,Doanh thu chưa thực hiện (Thuyết minh số 24) > Công ty MV1,Công ty MV1,Công ty liên kết,Doanh thu chưa thực hiện từ giao dịch góp vốn vào công ty liên kết,1.735.404,-,,,1735404.0,
,,,,,1.735.404,769.867,,,1735404.0,769867.0
Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),,,,
Quỹ Thiện Tâm,Phải trả ngắn hạn khác (Thuyết minh số 25) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải trả chi phí từ thiện,-,1.200.000,,,,1200000.0
,,,,,-,1.200.000,,,,1200000.0
