row_label_raw,row_label_full,col_0,Số đầu năm (*),Đầu tư tăng thêm trong năm,"Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",Cổ tức được chia trong năm/khác,Chuyển sang đầu tư dài hạn khác/Thanh lý khoản đầu tư,Số cuối năm (*),numeric__Số đầu năm (*),numeric__Đầu tư tăng thêm trong năm,"numeric__Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",numeric__Cổ tức được chia trong năm/khác,numeric__Chuyển sang đầu tư dài hạn khác/Thanh lý khoản đầu tư,numeric__Số cuối năm (*)
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,1.183.665,-,(255.000),5.922,(934.587),-,1183665.0,,-255000.0,5922.0,-934587.0,
Công ty Việt Thắng,Công ty Việt Thắng,Công ty Việt Thắng,626.915,-,31.186,-,(658.101),-,626915.0,,31186.0,,-658101.0,
Công ty Pin Lithium Vinfast,Công ty Pin Lithium Vinfast,Công ty Pin Lithium Vinfast,185.990,-,(17.257),-,-,168.733,185990.0,,-17257.0,,,168733.0
Công ty Vinfast-An Phát,Công ty Vinfast-An Phát,Công ty Vinfast-An Phát,97.434,-,(24.263),-,-,73.171,97434.0,,-24263.0,,,73171.0
Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,47.124,-,-,-,-,47.124,47124.0,,,,,47124.0
Công ty In sách Việt Nam,Công ty In sách Việt Nam,Công ty In sách Việt Nam,6.340,-,56,(485),-,5.911,6340.0,,56.0,-485.0,,5911.0
Công ty Công nghệ Vin-ACE,Công ty Công nghệ Vin-ACE,Công ty Công nghệ Vin-ACE,-,6.325,-,-,-,6.325,,6325.0,,,,6325.0
Công ty MV1 (Thuyết minh số 4.3),Công ty MV1 (Thuyết minh số 4.3),Công ty MV1 (Thuyết minh số 4.3),-,2.412.849,-,-,-,2.412.849,,2412849.0,,,,2412849.0
Công ty TNHH Khai thác và Chế biến đá Tường Phú,Công ty TNHH Khai thác và Chế biến đá Tường Phú,Công ty TNHH Khai thác và Chế biến đá Tường Phú,-,11.347,-,-,-,11.347,,11347.0,,,,11347.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.147.468,2.430.521,(265.278),5.437,(1.592.688),2.725.460,2147468.0,2430521.0,-265278.0,5437.0,-1592688.0,2725460.0
