row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,414.160.420.000,36.141.891.246,537.161.063.042,212.960.720.144,1.200.424.094.432,414160420000.0,36141891246.0,537161063042.0,212960720144.0,1200424094432.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,213.723.342.460,213.723.342.460,,,,213723342460.0,213723342460.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,58.309.599.321,(58.309.599.321),-,,,58309599321.0,-58309599321.0,
Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,-,-,-,(21.496.028.636),(21.496.028.636),,,,-21496028636.0,-21496028636.0
Cổ tức,Cổ tức,Cổ tức,41.411.000.000,-,-,(128.384.184.000),(86.973.184.000),41411000000.0,,,-128384184000.0,-86973184000.0
Thù lao Hội đồng Quản trị và Ban kiểm soát,Thù lao Hội đồng Quản trị và Ban kiểm soát,Thù lao Hội đồng Quản trị và Ban kiểm soát,-,-,-,(2.709.000.000),(2.709.000.000),,,,-2709000000.0,-2709000000.0
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,455.571.420.000,36.141.891.246,595.470.662.363,215.785.250.647,1.302.969.224.256,455571420000.0,36141891246.0,595470662363.0,215785250647.0,1302969224256.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,132.387.299.628,132.387.299.628,,,,132387299628.0,132387299628.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,9.263.707.394,(9.263.707.394),-,,,9263707394.0,-9263707394.0,
Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,-,-,-,(16.839.314.770),(16.839.314.770),,,,-16839314770.0,-16839314770.0
Cổ tức (Thuyết minh 20),Cổ tức (Thuyết minh 20),Cổ tức (Thuyết minh 20),45.551.620.000,-,-,(136.665.904.000),(91.114.284.000),45551620000.0,,,-136665904000.0,-91114284000.0
Thù lao Hội đồng Quản trị và Ban kiểm soát,Thù lao Hội đồng Quản trị và Ban kiểm soát,Thù lao Hội đồng Quản trị và Ban kiểm soát,-,-,-,(1.895.000.000),(1.895.000.000),,,,-1895000000.0,-1895000000.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,501.123.040.000,36.141.891.246,604.734.369.757,183.508.624.111,1.325.507.925.114,501123040000.0,36141891246.0,604734369757.0,183508624111.0,1325507925114.0
