row_label_raw,row_label_full,col_0,Ngắn hạn VND,31/12/2017Dài hạn VND,Tổng cộng VND,Ngắn hạn VND_1,1/1/2017Dài hạn VND,Tổng cộng VND_1,numeric__Ngắn hạn VND,numeric__31/12/2017Dài hạn VND,numeric__Tổng cộng VND,numeric__Ngắn hạn VND_1,numeric__1/1/2017Dài hạn VND,numeric__Tổng cộng VND_1
Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i),Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i),Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i),Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i),Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i),Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i),Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i),Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i),Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i),,,,,,
▪ Khoản gốc cho vay,Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i) > ▪ Khoản gốc cho vay,▪ Khoản gốc cho vay,25.890.433.308,41.835.649.963,67.726.083.271,23.890.433.308,62.164.350.038,86.054.783.346,25890433308.0,41835649963.0,67726083271.0,23890433308.0,62164350038.0,86054783346.0
▪ Tiền lãi cho vay nhập gốc,Phải thu về cho vay từ các công ty conCông ty Cổ phần Cảng Xanh VIP (i) > ▪ Tiền lãi cho vay nhập gốc,▪ Tiền lãi cho vay nhập gốc,-,-,-,-,5.561.733.233,5.561.733.233,,,,,5561733233.0,5561733233.0
Công ty Cổ phần Container Miền Trung (ii),Công ty Cổ phần Container Miền Trung (ii),Công ty Cổ phần Container Miền Trung (ii),Công ty Cổ phần Container Miền Trung (ii),Công ty Cổ phần Container Miền Trung (ii),Công ty Cổ phần Container Miền Trung (ii),Công ty Cổ phần Container Miền Trung (ii),Công ty Cổ phần Container Miền Trung (ii),Công ty Cổ phần Container Miền Trung (ii),,,,,,
▪ Khoản gốc tiền cho vay,Công ty Cổ phần Container Miền Trung (ii) > ▪ Khoản gốc tiền cho vay,▪ Khoản gốc tiền cho vay,1.879.278.944,939.639.476,2.818.918.420,1.879.278.944,2.818.918.420,4.698.197.364,1879278944.0,939639476.0,2818918420.0,1879278944.0,2818918420.0,4698197364.0
Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii),Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii),Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii),Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii),Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii),Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii),Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii),Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii),Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii),,,,,,
▪ Khoản gốc tiền cho vay,Công ty TNHH MTV Vận tải biểnNgôi sao Xanh (iii) > ▪ Khoản gốc tiền cho vay,▪ Khoản gốc tiền cho vay,4.450.000.000,10.450.000.000,14.900.000.000,2.100.000.000,4.900.000.000,7.000.000.000,4450000000.0,10450000000.0,14900000000.0,2100000000.0,4900000000.0,7000000000.0
Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv),Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv),Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv),Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv),Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv),Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv),Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv),Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv),Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv),,,,,,
▪ Khoản gốc tiền cho vay,Công ty Cổ phần Đầu tư Dịch vụ vàPhát triển Xanh (iv) > ▪ Khoản gốc tiền cho vay,▪ Khoản gốc tiền cho vay,6.000.000.000,52.000.000.000,58.000.000.000,-,-,-,6000000000.0,52000000000.0,58000000000.0,,,
,,,38.219.712.252,105.225.289.439,143.445.001.691,27.869.712.252,75.445.001.691,103.314.713.943,38219712252.0,105225289439.0,143445001691.0,27869712252.0,75445001691.0,103314713943.0
