row_label_raw,row_label_full,col_0,Địa chỉ,31/12/2017,31/12/2017_1,31/12/2017_2,31/12/2017_3,1/1/2017,1/1/2017_1,1/1/2017_2,1/1/2017_3,numeric__Địa chỉ,numeric__31/12/2017,numeric__31/12/2017_1,numeric__31/12/2017_2,numeric__31/12/2017_3,numeric__1/1/2017,numeric__1/1/2017_1,numeric__1/1/2017_2,numeric__1/1/2017_3
,,,Địa chỉ,Số lượng cổ phiếu,% sở hữu,% quyền biểu quyết,Giá gốc (**) VND,Số lượng cổ phiếu,% sở hữu,% quyền biểu quyết,Giá gốc (**) VND,,,,,,,,,
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,,,
Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,Công ty TNHH Một thành viên Vận tải biển,,,,,,,,,
Ngôi sao Xanh (*),Công ty TNHH Một thành viên Vận tải biển > Ngôi sao Xanh (*),Ngôi sao Xanh (*),Hải Phòng,,100%,100%,40.000.000.000,,100%,100%,15.000.000.000,,,1.0,1.0,40000000000.0,,1.0,1.0,15000000000.0
Công ty Cổ phần Container Miền Trung,Công ty TNHH Một thành viên Vận tải biển > Công ty Cổ phần Container Miền Trung,Công ty Cổ phần Container Miền Trung,Đà Nẵng,1.982.500,65%,65%,19.825.000.000,1.982.500,65%,65%,19.825.000.000,,1982500.0,0.65,0.65,19825000000.0,1982500.0,0.65,0.65,19825000000.0
Công ty TNHH Một thành viên Viconship,Công ty TNHH Một thành viên Viconship,Công ty TNHH Một thành viên Viconship,Thành phố,,,,,,,,,,,,,,,,,
Hồ Chí Minh,Công ty TNHH Một thành viên Viconship > Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,100%,100%,6.000.000.000,,100%,100%,6.000.000.000,,,1.0,1.0,6000000000.0,,1.0,1.0,6000000000.0
Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,Công ty TNHH Một thành viên Trung tâm,,,,,,,,,
Logistic Xanh,Công ty TNHH Một thành viên Trung tâm > Logistic Xanh,Logistic Xanh,Hải Phòng,,100%,100%,90.000.000.000,,100%,100%,90.000.000.000,,,1.0,1.0,90000000000.0,,1.0,1.0,90000000000.0
Công ty TNHH Một thành viên Bến Xanh (*),Công ty TNHH Một thành viên Trung tâm > Công ty TNHH Một thành viên Bến Xanh (*),Công ty TNHH Một thành viên Bến Xanh (*),Hải Phòng,,,,-,,100%,100%,25.000.000.000,,,,,,,1.0,1.0,25000000000.0
Công ty Cổ phần Cảng Xanh VIP,Công ty TNHH Một thành viên Trung tâm > Công ty Cổ phần Cảng Xanh VIP,Công ty Cổ phần Cảng Xanh VIP,Hải Phòng,47.025.000,74%,74%,518.850.000.000,42.750.000,74%,74%,476.100.000.000,,47025000.0,0.74,0.74,518850000000.0,42750000.0,0.74,0.74,476100000000.0
Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển,,,,,,,,,
Xanh,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển > Xanh,Xanh,Hải Phòng,,"66,34%","66,34%",67.000.000.000,,,,-,,,0.6634,0.6634,67000000000.0,,,,
,,,,,,,741.675.000.000,,,,631.925.000.000,,,,,741675000000.0,,,,631925000000.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,
Công ty Cổ phần Logistics Cảng Đà Nẵng,Công ty liên kết > Công ty Cổ phần Logistics Cảng Đà Nẵng,Công ty Cổ phần Logistics Cảng Đà Nẵng,Đà Nẵng,1.332.000,31%,31%,14.430.000.000,1.110.000,31%,31%,12.210.000.000,,1332000.0,0.31,0.31,14430000000.0,1110000.0,0.31,0.31,12210000000.0
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty liên kết > Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Hải Phòng,8.820.200,22%,22%,80.991.207.286,7.050.000,"17,6%",22%,70.500.000.000,,8820200.0,0.22,0.22,80991207286.0,7050000.0,0.17600000000000002,0.22,70500000000.0
Công ty TNHH Tuyến Container T.S. Hà Nội,Công ty liên kết > Công ty TNHH Tuyến Container T.S. Hà Nội,Công ty TNHH Tuyến Container T.S. Hà Nội,Hải Phòng,,30%,30%,2.002.500.000,,,,-,,,0.3,0.3,2002500000.0,,,,
,,,,,,,97.423.707.286,,,,82.710.000.000,,,,,97423707286.0,,,,82710000000.0
