row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2017VND,1/1/2017VND,,
Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH MTV Vận tải biển Ngôi sao Xanh,Các công ty con > Công ty TNHH MTV Vận tải biển Ngôi sao Xanh,Công ty TNHH MTV Vận tải biển Ngôi sao Xanh,2.582.941.701,1.487.893.000,2582941701.0,1487893000.0
Công ty TNHH MTV Trung tâm Logistics Xanh,Các công ty con > Công ty TNHH MTV Trung tâm Logistics Xanh,Công ty TNHH MTV Trung tâm Logistics Xanh,2.515.979.881,2.435.331.939,2515979881.0,2435331939.0
Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Các công ty con > Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,601.308.159,-,601308159.0,
Công ty TNHH MTV Viconship Hồ Chí Minh,Các công ty con > Công ty TNHH MTV Viconship Hồ Chí Minh,Công ty TNHH MTV Viconship Hồ Chí Minh,381.536.000,-,381536000.0,
Công ty Cổ phần Cảng Xanh VIP,Các công ty con > Công ty Cổ phần Cảng Xanh VIP,Công ty Cổ phần Cảng Xanh VIP,-,1.408.643.706,,1408643706.0
Công ty TNHH MTV Bến Xanh,Các công ty con > Công ty TNHH MTV Bến Xanh,Công ty TNHH MTV Bến Xanh,-,421.161.920,,421161920.0
,,,6.081.765.741,5.753.030.565,6081765741.0,5753030565.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty liên kết > Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,4.606.979.560,6.199.292.781,4606979560.0,6199292781.0
,,,10.688.745.301,11.952.323.346,10688745301.0,11952323346.0
Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,,
Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Người bán là các bên thứ ba > Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,4.812.510.940,3.412.305.570,4812510940.0,3412305570.0
Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Người bán là các bên thứ ba > Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,1.271.031.300,857.018.250,1271031300.0,857018250.0
Công ty Cổ phần Cảng Nam Hải,Người bán là các bên thứ ba > Công ty Cổ phần Cảng Nam Hải,Công ty Cổ phần Cảng Nam Hải,-,6.677.459.340,,6677459340.0
Công ty Cổ phần Cảng Nam Hải Đình Vũ,Người bán là các bên thứ ba > Công ty Cổ phần Cảng Nam Hải Đình Vũ,Công ty Cổ phần Cảng Nam Hải Đình Vũ,-,3.022.444.625,,3022444625.0
Công ty Cổ phần Greating Fortune Container Việt Nam,Người bán là các bên thứ ba > Công ty Cổ phần Greating Fortune Container Việt Nam,Công ty Cổ phần Greating Fortune Container Việt Nam,-,2.313.688.745,,2313688745.0
Các nhà cung cấp khác,Người bán là các bên thứ ba > Các nhà cung cấp khác,Các nhà cung cấp khác,6.257.981.652,6.438.581.293,6257981652.0,6438581293.0
,,,23.030.269.193,34.673.821.169,23030269193.0,34673821169.0
