row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,155.156.861.835,7.944.926.972,240.355.908.622,1.497.492.429,404.955.189.858,155156861835.0,7944926972.0,240355908622.0,1497492429.0,404955189858.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,4.437.860.301,10.158.977.370,549.236.000,15.146.073.671,,4437860301.0,10158977370.0,549236000.0,15146073671.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,10.351.902.355,-,-,-,10.351.902.355,10351902355.0,,,,10351902355.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(5.150.954.682),-,(5.150.954.682),,,-5150954682.0,,-5150954682.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,165.508.764.190,12.382.787.273,245.363.931.310,2.046.728.429,425.302.211.202,165508764190.0,12382787273.0,245363931310.0,2046728429.0,425302211202.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,118.429.644.751,5.691.402.800,170.206.299.123,1.486.421.732,295.813.768.406,118429644751.0,5691402800.0,170206299123.0,1486421732.0,295813768406.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,11.265.454.011,1.497.284.406,16.280.046.271,28.768.301,29.071.552.989,11265454011.0,1497284406.0,16280046271.0,28768301.0,29071552989.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(1.565.948.693),-,(1.565.948.693),,,-1565948693.0,,-1565948693.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,129.695.098.762,7.188.687.206,184.920.396.701,1.515.190.033,323.319.372.702,129695098762.0,7188687206.0,184920396701.0,1515190033.0,323319372702.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,36.727.217.084,2.253.524.172,70.149.609.499,11.070.697,109.141.421.452,36727217084.0,2253524172.0,70149609499.0,11070697.0,109141421452.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,35.813.665.428,5.194.100.067,60.443.534.609,531.538.396,101.982.838.500,35813665428.0,5194100067.0,60443534609.0,531538396.0,101982838500.0
