row_label_raw,row_label_full,col_0,col_1,col_2,31/12/2020,01/01/2020,numeric__col_1,numeric__col_2,numeric__31/12/2020,numeric__01/01/2020
TÀI SẢN,TÀI SẢN,TÀI SẢN,MS,TM,VND,VND,,,,
"Chi phí sản xuất, kinh doanh dở dang dài hạn","TÀI SẢN > Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,614.726.749.147,624.841.194.734,241.0,,614726749147.0,624841194734.0
Chi phí xây dựng cơ bản dở dang,TÀI SẢN > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,522.256.060.124,1.175.206.725.575,242.0,,522256060124.0,1175206725575.0
Bảng Cân đối kế toán sau phân loại,Bảng Cân đối kế toán sau phân loại,Bảng Cân đối kế toán sau phân loại,Bảng Cân đối kế toán sau phân loại,Bảng Cân đối kế toán sau phân loại,Bảng Cân đối kế toán sau phân loại,Bảng Cân đối kế toán sau phân loại,,,,
,,,,,31/12/2020,01/01/2020,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,MS,TM,VND,VND,,,,
"Chi phí sản xuất, kinh doanh dở dang dài hạn","TÀI SẢN > Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,614.726.749.147,-,241.0,,614726749147.0,
Chi phí xây dựng cơ bản dở dang,TÀI SẢN > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,522.256.060.124,1.800.047.920.309,242.0,,522256060124.0,1800047920309.0
