row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn,31/12/2020 > Giá gốc > 51.920.000.000,31/12/2020 > Giá trị ghi sổ > 51.920.000.000,01/01/2020 > Giá gốc > 66.403.931.812,01/01/2020 > Giá trị ghi sổ > 66.403.931.812,numeric__31/12/2020 > Giá gốc > 51.920.000.000,numeric__31/12/2020 > Giá trị ghi sổ > 51.920.000.000,numeric__01/01/2020 > Giá gốc > 66.403.931.812,numeric__01/01/2020 > Giá trị ghi sổ > 66.403.931.812
Ngắn hạn,Ngắn hạn,Ngắn hạn,46.920.000.000,46.920.000.000,61.403.931.812,61.403.931.812,46920000000.0,46920000000.0,61403931812.0,61403931812.0
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),46.920.000.000,46.920.000.000,61.403.931.812,61.403.931.812,46920000000.0,46920000000.0,61403931812.0,61403931812.0
Dài hạn,Dài hạn,Dài hạn,5.000.000.000,5.000.000.000,5.000.000.000,5.000.000.000,5000000000.0,5000000000.0,5000000000.0,5000000000.0
Trái phiếu (ii),Trái phiếu (ii),Trái phiếu (ii),5.000.000.000,5.000.000.000,5.000.000.000,5.000.000.000,5000000000.0,5000000000.0,5000000000.0,5000000000.0
